"1. 医師：本日はどうされましたか？
2. 患者：右下腹部に痛みがあって、吐き気もあります。
3. 医師：その痛みはいつから始まりましたか？
4. 患者：3日前からです。最初はちょっと不快感があっただけでした。
5. 医師：その不快感からどのように変化しましたか？
6. 患者：だんだん痛みが強くなって、今は激しいです。
7. 医師：右下腹部の痛みは特に触れるとどうですか？
8. 患者：押されるとすごく痛いです。
9. 医師：吐き気は続いていますか？
10. 患者：はい、ずっと吐き気があります。
11. 医師：食欲はどうですか？
12. 患者：全然ありません。食べたくないです。
13. 医師：他に症状はありますか？
14. 患者：熱もあります。なんか寒気も感じます。
15. 医師：体温はどのくらいありましたか？
16. 患者：自分では測っていないですが、寒気がするので高いと思います。
17. 医師：家族の方は症状について話していましたか？
18. 患者家族：彼女は痛みが増してから、寝込みがちになりました。
19. 医師：それは大変ですね。どのくらいの痛みなのか伝えていましたか？
20. 患者家族：かなり強いと話していました。
21. 医師：最近、何か食べたものでおかしいものはありませんでしたか？
22. 患者：特に思い当たるものはありません。
23. 医師：排便はどうでしたか？
24. 患者：いつも通りですが、最近は少し便秘気味かもしれません。
25. 医師：右下腹部の痛みを感じるとき、どんな姿勢が楽ですか？
26. 患者：横になっていると少し楽ですが、あまり動けません。
27. 医師：地元の病院に行くことは考えましたか？
28. 患者：痛みが我慢できなかったので、すぐ受診しました。
29. 医師：病院までの移動はどうでしたか？
30. 患者：揺れるのが嫌で、大変でした。
31. 医師：周囲の人はどんな反応をしていましたか？
32. 患者家族：彼女の様子を見て、すぐに病院に行くべきだと言いました。
33. 医師：それは賢明な判断ですね。今のお身体の状態に気助けがありますか？
34. 患者：良くなってほしいです。痛みがつらいですから。
35. 医師：この痛みの度合いは仕事に影響を与えていますか？
36. 患者：もう数日前から仕事には行けていません。
37. 医師：仕事はどういったことをされていますか？
38. 患者：オフィスワーカーなので座っていることが多いです。
39. 医師：長時間同じ姿勢は負担になることがありますよね。
40. 患者：はい、そう思います。
41. 医師：他に特別な病歴はありますか？
42. 患者：特に今まで大きな病気はありません。
43. 医師：アレルギーや持病はないですか？
44. 患者：はい、全くありません。
45. 医師：お薬を常用しているものはありますか？
46. 患者：この痛みのために何も飲んでいません。
47. 医師：ここ3日間で、寝不足やストレスを感じることはありましたか？
48. 患者：ストレスは少しありますが、今は痛みの方が気になります。
49. 医師：体調が悪いときは、どう乗り切るか特別な方法を持っていますか？
50. 患者：友達と話すことが気分転換になりますが、今はそれも難しいです。 
51. 医師：では、体温を測ってみましょう。あなたは少しインフルエンザのような症状がありますが、腹部の痛みにも注目が必要です。"
