"1. 医師：こんにちは。本日はいかがされましたか？  
2. 患者：最近、頭痛と汗を異常にかくことが増えて困っています。  
3. 医師：その症状はいつ頃から感じていますか？  
4. 患者：半年くらい前から少し気になっていたんですが、ここ1か月で特にひどくなりました。  
5. 医師：頭痛はどのような時に起きやすいですか？  
6. 患者：運動した後やストレスを感じた時に多い気がします。  
7. 医師：痛みの強さや場所について教えてください。  
8. 患者：こめかみあたりがズキズキと痛む感じです。強い時は何も手につきません。  
9. 医師：発汗が多いと感じたのはどこですか？  
10. 患者：全身で汗をかくんですが、特に手のひらがビショビショになります。  
11. 医師：動悸を感じることはありますか？  
12. 患者：はい、突然心臓がバクバクして苦しいことがあります。  
13. 医師：倦怠感や疲れやすさはどうですか？  
14. 患者：普段からすごく疲れやすくて、日常生活がしんどいです。  
15. 医師：体重の変化などはありましたか？  
16. 患者：最近、特にダイエットもしていないのに体重が3キロくらい減りました。  
17. 医師：食欲や食事の様子に変化はありましたか？  
18. 患者：特に変わりません。普通に食べているんですが体重が落ちます。  
19. 医師：現在服用中のお薬はありますか？  
20. 患者：Levothyroxineを飲んでいます。昔、甲状腺機能低下症と診断されました。  
21. 医師：血圧を測定したことはありますか？  
22. 患者：はい、家でも測ったらいつも高めで、ここ最近は病院で測られたらさらに高くなりました。  
23. 医師：どのくらいの数字でしたか？  
24. 患者：最近は170とか180くらいまでになってました。  
25. 医師：脈拍が速いと感じたことはありますか？  
26. 患者：はい、動悸の時には特に速くなるのが分かります。  
27. 医師：甲状腺の治療は順調ですか？診察や検査を最近しましたか？  
28. 患者：特に問題ないと言われました。定期的にチェックしています。  
29. 医師：腹痛や吐き気など、他の症状はありますか？  
30. 患者：いいえ、特にそういった症状は感じません。  
31. 医師：仕事や家庭でのストレスはありますか？  
32. 患者：仕事が忙しいのもありますが、特段変わったことはありません。  
33. 医師：家族に同じような症状を持つ方はいらっしゃいますか？  
34. 患者：いいえ、家族はみんな健康です。  
35. 医師：日常生活で、何かこの症状で困ったことはありますか？  
36. 患者：そうですね、頭痛と汗がひどくて集中しにくいです。それに動悸で休むこともあります。  
37. 医師：冷え症や指のむくみは感じますか？  
38. 患者：冷えはないですが、汗で手がベタベタしてむしろ暑がりになった気がします。  
39. 医師：睡眠については問題ないですか？  
40. 患者：寝つきが悪いことがありますが、それ以外は特に問題ありません。  
41. 医師：尿の回数や色は通常と違いがありますか？  
42. 患者：特に変化ありません。  
43. 医師：実際に測定された血圧や脈拍の値が高い場合がありますので、さらに詳しい検査が必要そうですね。  
44. 患者：分かりました、どうぞお願いします。  
45. 医師：尿検査などでカテコラミンという物質の値を調べたところ、通常よりかなり高かったです。  
46. 患者：それはどういう意味ですか？  
47. 医師：副腎に腫瘍ができる病気で、ストレス時などにホルモンが過剰に出ている可能性があります。  
48. 患者：そんな病気があるんですね。どうすれば良いのでしょうか。  
49. 医師：これを「褐色細胞腫」と呼びます。治療方法もありますので、しっかり対応していきます。  
50. 患者：診断が分かって安心しました。治療についてお願いします。  "
