"1. 医師：今日はどういった症状でお越しになりましたか？
2. 患者：頚部が痛くて、発熱もしています。
3. 医師：その症状はいつから感じていますか？
4. 患者：約1週間前からですね。
5. 医師：発熱はどの程度上がりましたか？
6. 患者：体温は38.5℃に達しました。
7. 医師：痛みの部位について詳しく教えてください。
8. 患者：右側の頚部が鈍い痛みがあります。
9. 医師：痛みは常にありますか、それとも特定の状況で増しますか？
10. 患者：飲食や頭を動かすと悪化します。
11. 医師：全体的にどのような体調ですか？
12. 患者：全身がだるくて、日常生活に支障をきたしています。
13. 医師：他に気になる症状はありますか？
14. 患者：特に思い当たるものはありませんが、ただだるいです。
15. 医師：頚部を触るとどのような感じがしますか？
16. 患者：圧がかかると特に痛いです。
17. 医師：痛みを感じる部分は腫れていますか？
18. 患者：はい、少し腫れていると思います。
19. 医師：頚部リンパ節も腫れている可能性がありますが、自覚されていますか？
20. 患者：そう言われると、右側に少し腫れた部分があります。
21. 医師：その腫れている部分を家族に見せましたか？
22. 患者家族：はい、私も腫れているのに気付きました。
23. 医師：最近風邪を引いたり、アレルギー反応を起こしたりしていましたか？
24. 患者：特に風邪は引いていないと思います。
25. 医師：咳やのどの痛みは感じますか？
26. 患者：のどは特に痛くはありません。
27. 医師：お食事の際に飲み込みにくさは感じますか？
28. 患者：全然飲み込みには問題ありません。
29. 医師：特定の食べ物でアレルギーがあるとか、体調が悪化することはありますか？
30. 患者：今のところそのようなことはありません。
31. 医師：仕事や生活の中でストレスを感じることはありますか？
32. 患者：最近は仕事が忙しくて、少しストレスを感じています。
33. 医師：お休みは取れているでしょうか？
34. 患者：なかなか取れないですね、忙しくて。
35. 医師：水分はしっかりとってますか？
36. 患者：意識して取っているつもりですが、あまり飲めていないかも。
37. 医師：発熱は特に夜にひどくなることはありませんか？
38. 患者：はい、夜に少し強くなる気がします。
39. 医師：それは心配ですね。他にお感じのことは？
40. 患者：そうですね、最近寒暖差が激しいのでそれも影響しているかも。
41. 医師：生活環境に関係するかもしれませんね。
42. 患者家族：外の気温が変わりやすい時期なので、そのせいもあるでしょう。
43. 医師：それでは、少し検査をしてみましょう。
44. 患者：はい、分かりました。
45. 医師：血液検査と画像検査を行います。
46. 患者：何か問題が見つかりますか？
47. 医師：結果を確認してからお話ししましょう。
48. 患者：わかりました、よろしくお願いします。
49. 医師：検査結果が出ました。右側の頚部に炎症が見られます。
50. 患者：炎症ですか？それはどういうことですか？
51. 医師：亜急性甲状腺炎の可能性があります。"
