"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：のどが腫れていて、すごく疲れています。
3. 医師：その症状はいつからですか？
4. 患者：約1週間前からです。
5. 医師：最初はどんな感じでしたか？
6. 患者：最初は軽い不快感でしたが、だんだん痛みが増してきました。
7. 医師：痛みは飲食時に支障をきたすほどですか？
8. 患者：はい、今は飲むのも食べるのも辛いです。
9. 医師：他に何か気になる症状はありますか？
10. 患者：全身が疲れている感じが強いです。
11. 医師：疲労感はずっと続いているのですか？
12. 患者：はい、日常生活にも支障があります。
13. 医師：体温はどうですか？
14. 患者：平熱ですが、時々微熱を感じます。
15. 医師：頸部に腫れを感じますか？
16. 患者：はい、腫れているのがわかります。
17. 医師：痛みはどのあたりにありますか？
18. 患者：特にのどと甲状腺のところに痛みがあります。
19. 医師：最近、風邪やインフルエンザにかかりましたか？
20. 患者：いいえ、特にはありません。
21. 医師：家族の方に同じような症状の人はいませんか？
22. 患者家族：私も最近、のどが痛いと感じていましたが、重症ではありませんでした。
23. 医師：患者さんの方が症状は強そうですね。
24. 患者：はい、私の方が明らかに痛いです。
25. 医師：のどの観察をしますね。
26. 患者：はい、お願いします。
27. 医師：視診で紅斑が見られますね。
28. 患者：それが痛みを引き起こしているのですか？
29. 医師：そうみたいですね。頸部のリンパ節も腫大しています。
30. 患者：それが原因なんでしょうか？
31. 医師：可能性がありますね。疲労感はどうですか？
32. 患者：本当にしんどいです、何か理由があるのでしょうか？
33. 医師：血液検査を行ってみます。その結果で原因を探ります。
34. 患者：はい、お願いします。
35. 医師：最近の生活でストレスはありませんか？
36. 患者：仕事が忙しくて、ストレスは感じています。
37. 医師：それも影響しているかもしれませんね。
38. 患者：ストレスで体調を崩すこと、よくありますよね。
39. 医師：そうですね。気持ちが身体に影響することは多いです。
40. 患者：他に何か検査が必要ですか？
41. 医師：血液検査の結果を待ちましょう。
42. 患者：それまでの間、どんな対処をすればいいですか？
43. 医師：痛みが強い場合は、鎮痛薬を使用してもらうといいですよ。
44. 患者：なるほど、それは助かります。
45. 医師：ところで、最近お休みは取れましたか？
46. 患者：なかなか取れず、ずっと忙しいです。
47. 医師：しっかり休むことも大切ですよ。
48. 患者：はい、意識して休むようにします。
49. 医師：血液検査の結果が出ました。白血球数やCRPが上昇しています。
50. 患者：それは何か問題があるということですか？
51. 医師：亜急性甲状腺炎と診断されました。
52. 患者：それが原因なんですね。"
