"1. 医師：こんにちは。今日はどのような症状で受診されましたか？  
2. 患者：こんにちは。喉が痛くて、体重も減りました。  
3. 医師：いつからその症状がありますか？  
4. 患者：約3週間前からです。  
5. 医師：最初はどんな感じでしたか？  
6. 患者：最初は軽い不快感だけでした。  
7. 医師：それがどのように変わりましたか？  
8. 患者：1週間後には痛みが強くなりました。  
9. 医師：食事を摂るのは難しかったですか？  
10. 患者：はい、とても難しかったです。  
11. 医師：体重はどのくらい減りましたか？  
12. 患者：約3kg減りました。  
13. 医師：他に症状はありますか？  
14. 患者：特に他にはないです。  
15. 医師：発熱や咳はありましたか？  
16. 患者：発熱はありませんでした。  
17. 医師：喉を見せていただいてもいいですか？  
18. 患者：どうぞ、見てください。  
19. 医師：喉の上部が赤くなっていますね。  
20. 患者：はい、痛みがひどいです。  
21. 医師：前頸部に腫れは感じますか？  
22. 患者：はい、少し腫れている気がします。  
23. 医師：家族の方、何か異変に気づいていましたか？  
24. 患者家族：最近、彼がよく喉が痛いと言っていますね。  
25. 医師：他に変わったことはありましたか？  
26. 患者家族：体重が減っているのも気になります。  
27. 医師：なるほど、ありがとうございます。いつから体重が減ったんですか？  
28. 患者：2週間前ぐらいからです。  
29. 医師：どれくらいの頻度で食事を摂っていますか？  
30. 患者：ほとんど食べられないので、かなり減っています。  
31. 医師：最近、風邪をひいたりしたことはありますか？  
32. 患者：はい、少し前に風邪気味でした。  
33. 医師：それから喉の痛みが始まりましたか？  
34. 患者：はい、そうかもしれません。  
35. 医師：血液検査を行いましたが、白血球は少し高めでした。  
36. 患者：それは良くないですか？  
37. 医師：感染症の可能性がありますので、詳しく見ていきます。  
38. 患者：他に何か検査が必要ですか？  
39. 医師：はい、甲状腺の機能も検査しました。  
40. 患者：結果はどうでしたか？  
41. 医師：TSHが低く、FT4とFT3は正常でした。  
42. 患者：それは異常ですか？  
43. 医師：少し気になりますね。甲状腺に炎症がある可能性があります。  
44. 患者：どういうことですか？  
45. 医師：亜急性甲状腺炎という病気が考えられます。  
46. 患者：それはどういう病気ですか？  
47. 医師：感染後に甲状腺が炎症を起こすことがあるんです。  
48. 患者：治るんでしょうか？  
49. 医師：適切に治療を行えば、回復することが多いです。  
50. 患者：それを聞いて安心しました。"
