"1. 医師：こんにちは、坂本さん。今日はどのような症状で来られましたか？
2. 患者：こんにちは、最近体重が減ってきて、疲れがすごくて…特に昼間にひどいんです。
3. 医師：それは心配ですね。他に何か気になる症状はありますか？
4. 患者：汗をたくさんかくようになったり、心臓がドキドキしたり、イライラすることも増えました。
5. 医師：それはいつごろから始まりましたか？
6. 患者：ちょうど1か月前ぐらいからです。
7. 医師：1か月ですか…体重はどのくらい減りましたか？
8. 患者：3キロくらい減りました。
9. 医師：甲状腺が腫れているようですが、最近何か異常を感じましたか？
10. 患者：いえ、特に気にはしていなかったです。
11. 医師：日常生活や仕事には影響がありますか？
12. 患者：はい、集中できなくて仕事がはかどらないです。
13. 医師：他には、手の震えなどはありますか？
14. 患者：はい、最近手が震えることがあります。
15. 医師：眼球突出が少しありますね。以前からでしたか？
16. 患者：いいえ、特に最近気づきました。
17. 医師：血液検査を行いますが、これまでに同様のことはありませんでしたか？
18. 患者：いいえ、初めてです。
19. 医師：過去に甲状腺の病気があったことは？
20. 患者：いえ、ありません。
21. 医師：心悸亢進や発汗の頻度はどのくらいでしょう？
22. 患者：最近はほぼ毎日です。
23. 医師：疲労感はどうしても日中ですか？
24. 患者：はい、特に昼間がひどいんです。
25. 医師：糖尿病の治療は続けられていますか？
26. 患者：はい、治療を受けています。
27. 医師：最近、糖尿病のコントロールが難しいと感じますか？
28. 患者：いや、それほどでもないです。
29. 医師：運動や食事に変化は？
30. 患者：変わっていないと思います。
31. 医師：これまでに何かストレス要因は？
32. 患者：特にないと思います。
33. 医師：2型糖尿病とお聞きしましたが、何年前からですか？
34. 患者：10年前くらいです。
35. 医師：普段の薬を飲み忘れることは？
36. 患者：忘れないように気を付けています。
37. 医師：最近、定期検査で指摘されたことは？
38. 患者：特にないです。
39. 医師：生活リズムに変化は？
40. 患者：不規則というわけではないです。
41. 医師：ご家族も甲状腺の病気がある方はいますか？
42. 患者：わかりません。聞いたことはないです。
43. 医師：血液検査と超音波検査を行いましたが、甲状腺機能が亢進しています。
44. 患者：それはどういうことですか？
45. 医師：甲状腺が過剰にホルモンを作っている可能性があります。
46. 患者：そんなことがあるんですね。
47. 医師：血液検査ではFT3とFT4が高く、TSHが抑制されています。
48. 患者：それは問題ですか？
49. 医師：はい、Basedow病という甲状腺の病気が考えられます。
50. 患者：どうやって治療するんですか？
51. 医師：抗甲状腺薬のMethimazoleを使って管理します。"
