"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：最近、体重が減ってきて、疲れやすいんです。
3. 医師：体重はどのくらい減りましたか？
4. 患者：3ヶ月で5kg減りました。
5. 医師：食事量は変わりましたか？
6. 患者：特に変わっていないと思います。
7. 医師：それ以外に何か気になる症状はありますか？
8. 患者：倦怠感が強くて、夜に汗をかくこともあります。
9. 医師：倦怠感はいつから感じていましたか？
10. 患者：体重が減り始めた頃からです。
11. 医師：日中も疲れやすいですか？
12. 患者：はい、ずっとだるい感じがします。
13. 医師：それはつらいですね。最近、ストレスはありませんか？
14. 患者：仕事が忙しいので、ちょっとストレスがあります。
15. 医師：仕事が忙しいというと、休む時間が取れないのですか？
16. 患者：そうですね、ほとんど休んでないです。
17. 医師：食事の内容はどうですか？バランスは取れていますか？
18. 患者：そんなに気を使っていないですね。
19. 医師：糖尿病もあると伺いましたが、血糖値は安定していますか？
20. 患者：通院しているので、そこは大丈夫だと思います。
21. 医師：それを聞いて安心しました。その他に体調の変化はありますか？
22. 患者：手が震えることもあるんです。
23. 医師：手の震えはいつ頃からですか？
24. 患者：最近になって気になり始めました。
25. 医師：震え以外に、心臓の動悸を感じることはありますか？
26. 患者：時々、ドキドキすることがあります。
27. 医師：それは具体的にどのくらいの頻度ですか？
28. 患者：1日に数回、急に感じることがあります。
29. 医師：なるほど、心拍数を測ってみても良いですか？
30. 患者：はい、お願いします。
31. 医師：では、少しお待ちください。指を見せてください。
32. 患者：はい、こちらです。
33. 医師：心拍数は102拍/分ですね。しっかりと測定できました。
34. 患者：少し心配です。
35. 医師：甲状腺の状態も気になりますね。触診してみてもいいですか？
36. 患者：もちろん、お願いします。
37. 医師：甲状腺が少し腫れているようですね。
38. 患者：そうなんですか？何か悪いことですか？
39. 医師：少し状況を確認するためにいくつかの検査をしましょう。
40. 患者：はい、よろしくお願いします。
41. 医師：夜間の発汗についてはどうですか？頻繁に起こりますか？
42. 患者：毎晩、パジャマが濡れるくらい汗をかきます。
43. 医師：それは多いですね。何か他に変わったことは？
44. 患者：いいえ、特には思い当たりませんが、最近あまり食欲がないです。
45. 医師：体重が減っているから、気になりますよね。
46. 患者：はい、どうにかしたいです。
47. 医師：もし可能なら、家族に何か気づいたことがあれば聞いてみますか？
48. 患者家族：体重が減っているのは本当に心配です。
49. 医師：家族も心配しているのですね。何か他に気になった症状はありますか？
50. 患者家族：食事をしていると少し苦しい様子でした。
51. 医師：それは貴重な情報ですね。最終的に、甲状腺に関する検査を行った結果、Basedow病の可能性が高いと考えられます。"
