"1. 医師：今日はどのような症状でお越しいただきましたか？
2. 患者：最近、すごく汗かきやすいことと、イライラしてしまうことが多いです。
3. 医師：その症状はいつから始まりましたか？
4. 患者：約3ヶ月前からです。
5. 医師：最初のころは、他にどんな症状がありましたか？
6. 患者：最初は軽い動悸があって、体重が少し減った気がします。
7. 医師：動悸はどのような感じでしたか？
8. 患者：心臓がドキドキするような感じでした。
9. 医師：体重の減少はどのくらいでしたか？
10. 患者：1ヶ月で2、3キロくらい減ったと思います。
11. 医師：その後、不安感は増してきましたか？
12. 患者：はい、日常生活にも支障が出るようになりました。
13. 医師：どんな時に特に不安を感じますか？
14. 患者：人混みや仕事のプレッシャーを感じるときです。
15. 医師：家族や友人にはこの症状を話していますか？
16. 患者：一部の友人には話しましたが、あまり理解してもらえないようです。
17. 医師：それはお辛いですね。ご両親はどうですか？
18. 患者家族：彼女のことを心配していますが、具体的には何が原因かわからないようです。
19. 医師：なるほど。症状が続く中で、他に変化はありましたか？
20. 患者：最近は、特に夜寝るときに汗をかくことが多いです。
21. 医師：睡眠中の発汗は、どのくらい続いていますか？
22. 患者：もう数週間くらいです。
23. 医師：それは気になりますね。普段の生活はどうですか？
24. 患者：仕事は続けていますが、集中力がなくなってきました。
25. 医師：仕事のストレス以外は、何か気になることはありますか？
26. 患者：特にはないですが、急にイライラしてしまいます。
27. 医師：イライラすることは、どのくらいの頻度でありますか？
28. 患者：毎日のように感じています。
29. 医師：それはつらいですね。他に、体調の変化はありますか？
30. 患者：たまに手が震えることもあります。
31. 医師：手の震えはどのくらいの強さですか？
32. 患者：軽く揺れる感じです。
33. 医師：脈拍や血圧を測ったことはありますか？
34. 患者：自分では測っていないです。
35. 医師：医療機関での血圧は正常でしたか？
36. 患者：はい、お医者さんに見てもらいましたが正常でした。
37. 医師：脈拍は、どれくらいでしたか？
38. 患者：測ってもらったときは、ちょっと早かったと思います。
39. 医師：その時、何か運動をしていましたか？
40. 患者：特にはしていませんでした。
41. 医師：最近、体温が高く感じることはありますか？
42. 患者：そういえば、時々暑く感じて汗をかきます。
43. 医師：目の症状はありませんか？例えば、見え方が変わったり。
44. 患者：目の見え方は変わっていないと思います。
45. 医師：家族の中で同様の症状の人はいますか？
46. 患者家族：特にいないと思います。
47. 医師：食欲はいかがですか？
48. 患者：食欲は結構ありますが、たまに気持ち悪くなります。
49. 医師：体重減少は何か思い当たることがありますか？
50. 患者：ストレスのせいかも知れませんが、あまり食べなくて減ったと思います。"
