"1. 医師：こんにちは。本日はどのようなことでお困りですか？  
2. 患者：最近、頭痛や吐き気が続いていて、気分が重いんです。  
3. 医師：いつ頃からその症状が始まりましたか？  
4. 患者：3か月くらい前からです。少しずつひどくなってきています。  
5. 医師：頭痛はどんな感じですか？具体的に教えてください。  
6. 患者：鈍い痛みで、特に朝起きた時にひどいです。  
7. 医師：吐き気は頭痛に伴って起こる感じですか？  
8. 患者：はい、そうですね。頭が痛い時に吐き気も感じます。  
9. 医師：気分が重いと感じるのは、どの時間帯が多いですか？  
10. 患者：朝が特に重いです。起きるのもしんどいですね。  
11. 医師：仕事や日常生活には支障がありますか？  
12. 患者：あります。仕事中のミスが増えて、上司にも注意されました。  
13. 医師：それは最近のことですか？それとも以前からありましたか？  
14. 患者：ここ数ヶ月のことですね。それまでは問題なく仕事できていました。  
15. 医師：周囲から何か意見をもらったりしますか？  
16. 患者：はい、家族や同僚から「元気がない」とか「顔色が悪い」と言われます。  
17. 医師：睡眠についてはいかがですか？  
18. 患者：眠りにつくのが難しいし、夜中に何度も目が覚めます。  
19. 医師：食欲はどうですか？  
20. 患者：ほとんど食べたくないですね。最近、体重も少し減っています。  
21. 医師：趣味や楽しんでいたことへの興味はありますか？  
22. 患者：まったく興味がわかないです。以前好きだったこともやる気が出なくて…。  
23. 医師：何かきっかけとなる出来事がありましたか？  
24. 患者：うーん、特に思い当たることはないです。でも、なんとなく生活がしんどく感じます。  
25. 医師：今までに同じような症状を感じたことはありますか？  
26. 患者：いえ、こんなにずっと続くのは初めてです。  
27. 医師：普段服用しているお薬や、病歴について教えていただけますか？  
28. 患者：高脂血症があって、アトルバスタチンを飲んでいます。それ以外は特にないです。  
29. 医師：ご家族から心配されることはありますか？  
30. 患者：妻が精神科に行った方がいいと言ってました。でも先延ばしにしていました。  
31. 医師：そうでしたか。普段の生活リズムや活動量はどうですか？  
32. 患者：ほとんどソファでゴロゴロして過ごしています。それぐらいしかできないんです。  
33. 医師：症状が悪化していると感じますか？  
34. 患者：ええ、特に最近ひどくなった気がします。朝、起き上がるのが辛くて…。  
35. 医師：気分の浮き沈みはありますか？特に午後や夜はどうですか？  
36. 患者：午後や夜は少し楽になることもありますけど、朝は本当に重苦しいです。  
37. 医師：家族のサポートや話し相手はいますか？  
38. 患者：妻がサポートしてくれていますが、申し訳なくて…。  
39. 医師：最近何かストレスになることがありましたか？  
40. 患者：特に大きな出来事はないですけど、仕事がうまくいっていないのがストレスですかね。  
41. 医師：今、身体的な症状についてお話いただきましたが、何か心配なことは他にありますか？  
42. 患者：いや、とにかくこの気分の重さをどうにかしたいです。  
43. 医師：血液検査や画像検査で器質的な異常は見られませんでした。身体的な病気より、うつ病の可能性が高いと考えられます。  
44. 患者：そうですか…。心配していましたが、やっぱり精神的な問題なんですね。  
45. 医師：はい、そのようです。HAM-Dテストでも重度の抑うつスコアが出ています。  
46. 患者：治るものなんでしょうか？  
47. 医師：治療には時間がかかることもありますが、適切な薬物療法やカウンセリングによって改善することができます。  
48. 患者：どんな薬を使うんですか？副作用が心配です。  
49. 医師：セルトラリンという抗うつ薬を少量から始めます。不眠についての薬も併用します。副作用があれば随時対応しますので安心してください。  
50. 患者：わかりました。試してみます。よろしくお願いします。  "
