"1. 医師：今日はどのような症状でお越しですか？
2. 患者：数週間前から頻繁にめまいがするんです。
3. 医師：めまいはいつから始まりましたか？
4. 患者：2ヶ月くらい前からです。
5. 医師：めまいが強くなる特定の状況はありましたか？
6. 患者：はい、人混みや高いところにいるときに強くなります。
7. 医師：その時、他にどんな症状がありましたか？
8. 患者：心拍数が増えるのも感じます。
9. 医師：初めての症状のときは、どんな感じでしたか？
10. 患者：最初は軽いめまいでしたが、少しずつひどくなりました。
11. 医師：頻度はどれくらいですか？
12. 患者：最初は月に数回だったのが、今はほぼ毎日です。
13. 医師：日常生活に支障を来していますか？
14. 患者：はい、学校にも行きづらくなっています。
15. 医師：発作が起きる前に、何か前兆を感じますか？
16. 患者：特に前兆は感じないこともあります。
17. 医師：めまいの他に、多汗や顔面蒼白が見られることがありますか？
18. 患者：はい、発作の時は多汗になります。
19. 医師：その時、意識ははっきりしていますか？
20. 患者：はい、意識はあるんですが、怖さがあります。
21. 医師：普段からストレスや不安を感じることはありますか？
22. 患者：学校の試験や友人関係でストレスを感じます。
23. 医師：これまでに特に大きな出来事がありましたか？
24. 患者：特に思いつかないです。
25. 医師：過去に似たような症状で病院に行ったことはありますか？
26. 患者：いいえ、それは初めてです。
27. 医師：家族に血圧や心臓の病気を持つ人はいますか？
28. 患者：母が高血圧です。
29. 医師：近い将来に何か心配事がありますか？
30. 患者：今はこのめまいが本当に不安です。
31. 医師：他に何か治療を試してみたいと思ったことはありますか？
32. 患者：薬を飲まずに治したいと思っていましたが、限界を感じています。
33. 医師：最近、睡眠や食事のリズムはどうですか？
34. 患者：あまり寝られなくなっています。
35. 医師：それは辛いですね。どんな時に特に寝られなくなりますか？
36. 患者：発作が起きそうだと感じたときです。
37. 医師：日常生活の中で気になったことや困っていることはありますか？
38. 患者：友人と遊ぶのが難しくなっています。
39. 医師：気晴らしに何か趣味などはありますか？
40. 患者：絵を描くのが好きなんですけど、最近は描けてません。
41. 医師：その趣味ができないのは残念ですね。何がきっかけで描き始めましたか？
42. 患者：小さい頃からずっと好きでした。
43. 医師：これまでの症状の中で、特に不安だったことは何ですか？
44. 患者：発作のことが増えてきたことです。
45. 医師：症状が出ている間、家族にはどのようにサポートしてもらっていますか？
46. 患者：母がそばにいてくれることが多いです。
47. 医師：それは心強いですね。お母さんがどんなことをしてくれていますか？
48. 患者：声をかけてくれるり、付き添ってくれます。
49. 医師：家族がサポートしてくれるのは大切ですね。今の症状をみて、何か分かりましたか？
50. 医師：あなたにはパニック障害の可能性があります。"
