"1. 医師：今日はどのような症状でお越しになりましたか？
2. 患者：呼吸が苦しくて、胸が痛むことがあります。
3. 医師：その症状はいつから続いていますか？
4. 患者：数ヶ月前からです。
5. 医師：具体的にどのような時に感じますか？
6. 患者：特にストレスが多い時に悪化します。
7. 医師：最初に発作があったのはいつですか？
8. 患者：夜間に突然、胸の圧迫感を感じました。
9. 医師：それからはどうなりましたか？
10. 患者：日中にも発作が起こるようになりました。
11. 医師：どのくらいの頻度で発作がありますか？
12. 患者：頻繁に起こります。
13. 医師：発作の時はどんな気持ちになりますか？
14. 患者：予測不可能な恐怖感を感じます。
15. 医師：日常生活にはどのように影響していますか？
16. 患者：本当に困っています。外に出るのが怖くなりました。
17. 医師：他に気になる症状はありますか？
18. 患者：腹痛も時々あります。
19. 医師：腹痛は発作中に感じますか？
20. 患者：はい、たまに一緒に感じることがあります。
21. 医師：呼吸困難や胸痛以外に、どんな際に不安を感じますか？
22. 患者：人混みや公共交通機関にいるときです。
23. 医師：その時はどのような症状が出ますか？
24. 患者：息苦しくなることもありますし、心拍も早くなります。
25. 医師：最近、特にストレスを感じる出来事はありましたか？
26. 患者：仕事が忙しくて、プレッシャーを感じています。
27. 医師：緊張をほぐすために何かしていますか？
28. 患者：時々、深呼吸を試みていますが、あまり効果はありません。
29. 医師：身体は何かおかしいという感覚はありますか？
30. 患者：ただ、いつも怯えている感じです。
31. 医師：それでは、何かご家族と話したことはありますか？
32. 患者家族：彼女は夜中に目が覚めて、呼吸が苦しいと言っていました。
33. 医師：その時、どうされましたか？
34. 患者家族：落ち着かせるように声をかけましたが、効果がありませんでした。
35. 医師：その後、症状はどうなりましたか？
36. 患者：しばらくは続きましたが、少しずつ落ち着きました。
37. 医師：病院に来る前に試したことはありますか？
38. 患者：抗不安薬を少しだけ飲みましたが、効果は薄いと感じました。
39. 医師：他にお薬を使ったことはありますか？
40. 患者：特に、他の薬は試していません。
41. 医師：この症状について友人に話したことはありますか？
42. 患者：はい、少し相談しましたが、あまり理解してもらえませんでした。
43. 医師：ご自身で解決策を考えていますか？
44. 患者：ネットで調べたりはしていますが、混乱しています。
45. 医師：お仕事のストレスはどう対処されていますか？
46. 患者：息抜きができず、ずっと仕事のことを考えてしまいます。
47. 医師：ご自身でできるリラックス方法は試したことがありますか？
48. 患者：たまに散歩するくらいですが、効果が持続しません。
49. 医師：リラックスする時間は持てていますか？
50. 患者：十分ではないと思います。もっと気をつけないといけないです。 
51. 医師：総合的に考えると、パニック障害の可能性があります。"
