"1. 医師：こんにちは。どうされましたか？  
2. 患者：2日前から息切れを感じていました。運動すると特にひどくなるんです。  
3. 医師：それは困りましたね。他には何か変わったことは？  
4. 患者：昨夜、急に右の胸が強く痛んで息がまともに吸えなくなりました。  
5. 医師：胸の痛みはどんな感じでしたか？持続しましたか、それとも一瞬で終わった？  
6. 患者：鋭い痛みで、しばらく続きました。その後も呼吸が苦しいままです。  
7. 医師：その痛みは、何かきっかけで始まりましたか？例えば運動中や重いものを持ったときなど。  
8. 患者：いいえ、特に何もしていないときに急にでした。  
9. 医師：わかりました。今までに同じような症状を経験したことはありますか？  
10. 患者：いいえ、初めてのことです。  
11. 医師：これまでに大きな病気をしたことはありますか？  
12. 患者：特にありません。健康だったと思います。  
13. 医師：今、何か薬を飲んでいますか？またはアレルギーは？  
14. 患者：薬も何も飲んでいないですし、アレルギーもありません。  
15. 医師：タバコを吸ったりしますか？家族の中にヘビースモーカーはいませんか？  
16. 患者：タバコは吸いませんし、家族も誰も吸わないですね。  
17. 医師：なるほど。ちなみに、最近体重が急に減ることや食欲の変化などありましたか？  
18. 患者：体重は最近測っていないですが、特に変わったことはないと思います。  
19. 医師：そうですか。今呼吸していて、息苦しさや違和感はどの程度ですか？  
20. 患者：深く息を吸おうとすると右側胸が圧迫される感じで苦しいです。  
21. 医師：それは辛いですね。他に、咳やたんは出ていますか？  
22. 患者：特に咳やたんはないです。  
23. 医師：胸以外に、例えば肩や背中、あるいは首周りに痛みや不快感はありますか？  
24. 患者：特に胸以外には痛みはないです。  
25. 医師：症状が始まった2日前、生活の中で何か変わったことは？例えば仕事でのストレスや疲れなど。  
26. 患者：特に変わったことはないですね。普通に過ごしていました。  
27. 医師：今までに、転んだり胸をぶつけたことは？  
28. 患者：それもないです。  
29. 医師：ご家族やご友人で、胸の病気になった方はいますか？例えば気胸とか心臓系の病気とか。  
30. 患者：いいえ、そういう話は聞いたことがないです。  
31. 医師：お話を聞く限り、あなたは背が高くて体型が細めですね。昔からこういう体型でしたか？  
32. 患者：はい、いつも痩せ気味です。  
33. 医師：なるほど。今、痛みがひどい場所を指で教えてもらえますか？  
34. 患者：ここ、右側の胸の真ん中あたりです。  
35. 医師：その痛みは、何かすると悪化しますか？  
36. 患者：深く息をすると痛みが強くなります。  
37. 医師：胸を押してみると痛みますか？  
38. 患者：いいえ、触っても痛くはないです。  
39. 医師：では、横になったり姿勢を変えたりで軽減することはありますか？  
40. 患者：特に変わりません。ずっと苦しい感じです。  
41. 医師：なるほど。体のだるさや熱っぽさはありませんか？  
42. 患者：熱がある感じはまったくないですね。  
43. 医師：少し診察させてください。お体に触れますね。  
44. 患者：はい、お願いします。  
45. 医師：（診察後）右の胸の音が少し聞こえにくくなっています。あとで詳しい検査をしましょう。  
46. 患者：音が聞こえにくい？何が起きているんでしょうか？  
47. 医師：まだ詳しくはわかりませんが、レントゲンを撮ればもっと情報が得られると思います。  
48. 患者：わかりました、お願いします。  
49. 医師：（検査結果を確認して）レントゲンから気胸という診断がつきました。右の肺が少し縮んでいます。  
50. 患者：気胸、ですか？それってどういう病気ですか？  
51. 医師：肺の外側に穴が開いて空気が漏れ、肺が縮んでしまう状態です。まずドレーンを使って治療を進めます。"
