"1. 医師：こんにちは、今日はどのような症状で来られましたか？
2. 患者：突然、胸が苦しくて息がしづらくなったんです。
3. 医師：それはいつから感じていますか？
4. 患者：数時間前からです。
5. 医師：それは特に何か運動をした後ですか？
6. 患者：いいえ、特に運動はしていませんでした。
7. 医師：胸の不快感について、もう少し詳しく教えていただけますか？
8. 患者：押されるような感じがして、深呼吸するとさらに苦しくなります。
9. 医師：呼吸をしているときに、他にどんな感じがありますか？
10. 患者：時々、胸がむかむかすることもあります。
11. 医師：過去に似たような症状はありましたか？
12. 患者：以前、気管支喘息があったので、時々咳が出ることはありました。
13. 医師：喘息のための治療薬は使っていますか？
14. 患者：はい、吸入薬を定期的に使っています。
15. 医師：以前の喘息の症状は、どのように感じていましたか？
16. 患者：喘息のときは、ゼーゼーいう音がして息切れがしていました。
17. 医師：現在、喘息の発作はありますか？
18. 患者：最近は発作はなかったんですが、今日は本当に苦しいです。
19. 医師：それは大変ですね。今は安静にしていますか？
20. 患者：はい、ただ座っているだけです。
21. 医師：呼吸はどのくらいの速さでしていますか？
22. 患者：自分でも早くなっている気がします。
23. 医師：他に胸が苦しくなるときには、何かきっかけがありますか？
24. 患者：特に思い当たることはありません。
25. 医師：ご家族は何か気になることを言っていましたか？
26. 患者家族：そうですね、突然のことで驚いています。ずっと苦しそうです。
27. 医師：ご両親や兄弟にも喘息の既往はありますか？
28. 患者：両親ともにありません。
29. 医師：今、悪化している感じはありますか？
30. 患者：はい、少しずつ苦しい気がします。
31. 医師：息を吸うときの音や感覚はどうですか？
32. 患者：苦しいので音はよくわかりませんが、あまり深く吸えない気がします。
33. 医師：咳は出ていますか？
34. 患者：たまに咳が出るけど、あまり出ないです。
35. 医師：体温はどうですか？熱が出ている感じは？
36. 患者：特に熱はないと思います。
37. 医師：皮膚の色はどうですか？変わったところはありませんか？
38. 患者家族：見た感じでは、ちょっと白っぽくなっている気がします。
39. 医師：それは気になりますね。すぐに診察します。
40. 患者：はい、お願いします。
41. 医師：呼吸音を聞いてみますね。少し深呼吸してみてください。
42. 患者：はい、頑張ります。
43. 医師：右側の胸から、少し異常な音が聞こえます。
44. 患者：それが何か悪いことですか？
45. 医師：少し調べる必要があります。心配しないでください。
46. 患者：はい、お願いします。
47. 医師：胸部のX線検査を行いましょう。
48. 患者：どのくらいかかりますか？
49. 医師：数分で終わりますから、あまり心配しないでください。
50. 患者：わかりました。早く良くなりたいです。 
51. 医師：結果が出ましたね。右側に気胸があります。 
52. 患者：気胸って、どういうことなんですか？ 
53. 医師：肺の中に空気が漏れてしまっています。 
54. 患者：そうなんですね。でもどうしたら治りますか？ 
55. 医師：胸腔ドレナージを行う必要があります。 
この会話の続きは不要です。"
