"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：右手が震えています。
3. 医師：それはいつから始まりましたか？
4. 患者：6ヶ月ほど前からです。
5. 医師：最初はどんな感じでしたか？
6. 患者：安静にしているときに震えがありました。
7. 医師：最近はどうですか？
8. 患者：最近は動いているときにも震えるようになりました。
9. 医師：動いているときの震えは強く感じますか？
10. 患者：はい、結構強いです。
11. 医師：歩くときにはどうですか？
12. 患者：足がもつれる感じがあります。
13. 医師：どんなときにもつれますか？
14. 患者：特に歩くときですね。
15. 医師：それはどのくらいの頻度ですか？
16. 患者：毎回歩くときに感じます。
17. 医師：もつれがあったとき、特別な状況はありますか？
18. 患者：特に急いでいるときはひどいです。
19. 医師：他には何か感じることがありますか？
20. 患者：時々、体が重く感じます。
21. 医師：右手の震えはどのくらいの強さですか？
22. 患者：とても目立つ感じです。
23. 医師：人に指摘されたことはありますか？
24. 患者：はい、妻にも言われました。
25. 医師：妻は震えについてどう言っていましたか？
26. 患者家族：震えがすごくて、心配していました。
27. 医師：他に症状は書かれていましたか？
28. 患者：顔が無表情になっていると言われます。
29. 医師：それはいつからですか？
30. 患者：ここ数ヶ月ですね。
31. 医師：歩き方は以前と比べてどうですか？
32. 患者：ずいぶん変わったと思います。
33. 医師：よろしければ、具体的に教えていただけますか？
34. 患者：右足を引きずっている感覚があります。
35. 医師：周囲の人との会話に影響はありますか？
36. 患者：少し言葉を発するのが面倒だと感じます。
37. 医師：社会生活に支障は出ていますか？
38. 患者：以前のように外出しにくくなりました。
39. 医師：それは大変ですね。気分はどうですか？
40. 患者：少し落ち込んでいます。
41. 医師：ストレスがありますか？
42. 患者：少し感じますね。
43. 医師：最近、何か特別に心あたりはありますか？
44. 患者：特に大きな出来事はありません。
45. 医師：健康診断は受けていますか？
46. 患者：はい、最近も受けました。
47. 医師：それでは血液検査はどうでしたか？
48. 患者：特に異常はありませんでした。
49. 医師：MRI検査は受けましたか？
50. 患者：はい、その結果も問題ありませんでした。
51. 医師：右手の震え、足のもつれ、無表情ですね。もしかしたら、Parkinson病の可能性があります。"
