"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：最近、物忘れがひどくて、自分でも困るんです。   
3. 医師：具体的にはどういうことが起こるんですか？  
4. 患者：この間、自分の家がどこかわからなくなってしまいました。  
5. 医師：それは心配ですね。いつ頃からそういったことが起きるようになりましたか？  
6. 患者：1年くらい前から少しずつですが、最近特にひどくなっています。  
7. 医師：最初はどのような症状がありましたか？  
8. 患者：最初は物をどこに置いたか忘れるくらいだったんですが…。  
9. 医師：それが頻繁に起きるようになったということでしょうか？  
10. 患者：ええ、毎日のように何かを忘れるようになりました。  
11. 医師：最近では他に何か困ったことがありますか？  
12. 患者：言葉がうまく出てこなくなることが増えてきました。  
13. 医師：例えばどんな場面で？  
14. 患者：普通の会話で、言いたい単語が出てこなくて途中で止まってしまうんです。  
15. 医師：ご家族の方もその点について何か気づかれていますか？  
16. 患者の家族：そうです。父が話しているとき、会話が途切れることが明らかに増えました。  
17. 医師：他にも気づかれたことがあれば教えてください。  
18. 患者の家族：半年前くらいから道順や予定を忘れることがはっきり多くなりました。  
19. 医師：それ以前はどうでしたか？  
20. 患者の家族：1年前くらいから少しおかしいと思っていましたが、今ほどではなかったです。  
21. 医師：他にも変わったところがありますか？  
22. 患者の家族：この間、自宅がわからずにパニックになっていました。  
23. 医師：それはかなり心配ですね。そのとき患者さんはどうされましたか？  
24. 患者の家族：近所の人が助けてくれて戻ってこれました。  
25. 医師：睡眠や食事には影響はないですか？  
26. 患者：いいえ、そのあたりは普通だと思います。  
27. 医師：気持ちが落ち込んだりすることはありますか？  
28. 患者：ときどき自分が情けなくなることはありますけど、普段はまあ普通です。  
29. 医師：ご家族から見て気持ちの変化はどう感じますか？  
30. 患者の家族：少し不安そうな表情が多くなったと思います。  
31. 医師：お食事は自分で用意されていますか？  
32. 患者：今のところはできます。  
33. 医師：お会計や銀行の操作などはどうですか？  
34. 患者：少し手間取ることはありますが、まだなんとかできます。  
35. 医師：そうですか。特に混乱することが増えた場面はありますか？  
36. 患者：最近では何をするにも時間がかかるようになってきました。  
37. 医師：近頃、何か新しい出来事や病気、怪我などはありましたか？  
38. 患者：特に何もないです。  
39. 医師：他の身体的な症状、例えば手足のしびれや歩きにくさはありますか？  
40. 患者：それはないです。  
41. 医師：身近な友達とのやりとりには変化を感じますか？  
42. 患者の家族：電話のやり取りとかが少しぎこちなくなったかもしれません。  
43. 医師：具体的に言うとどうでしょう？  
44. 患者の家族：言葉を繰り返したり、同じ話題を何度も話してしまったりします。  
45. 医師：わかりました。自分の年齢や日付を間違えるようなことはありませんか？  
46. 患者：日付はときどきわからなくなりますが、年齢は覚えています。  
47. 医師：視覚や嗅覚が変わったと感じることはありますか？  
48. 患者：特にはありませんね。  
49. 医師：少し詳しい検査をしてみましょう。その後、画像を撮ることも考えます。  
50. 患者：お願いします。何か原因が分かると良いのですが。  
51. 医師：検査の結果とこれまでの話を総合すると、アルツハイマー病である可能性が高いです。  "
