"1. 医師：今日はどうされましたか？  
2. 患者：1週間くらい前から天井を見ると急にめまいがするようになりました。  
3. 医師：めまいはどのような感じですか？回転するようなめまいですか？  
4. 患者：はい、ぐるぐると回る感じです。目を閉じると少し落ち着きます。  
5. 医師：めまいはずっと続いていますか？それとも一時的ですか？  
6. 患者：一時的です。数十秒くらいで落ち着いてきます。  
7. 医師：めまいが起こるのはどんな時ですか？  
8. 患者：寝返りをしたり、上を向いたときによく起こります。  
9. 医師：その時に耳鳴りや耳が詰まったような感じはありますか？  
10. 患者：いいえ、特にそういった症状はありません。  
11. 医師：聴力に変化を感じることはありますか？  
12. 患者：特にないと思います。  
13. 医師：めまい以外に吐き気や嘔吐はありましたか？  
14. 患者：少し気持ち悪い時がありましたが、吐くほどではありません。  
15. 医師：これまでに同じようなめまいを経験したことはありますか？  
16. 患者：めまいは初めてです。耳鳴りはずっとありますが、症状は変わりません。  
17. 医師：過去に大きな病気やけがをされたことはありますか？  
18. 患者：特に大きな病気はありません。  
19. 医師：現在服用しているお薬はありますか？  
20. 患者：特に薬は飲んでいません。  
21. 医師：家族に似たような症状があった方はいらっしゃいますか？  
22. 患者：いいえ、家族にはそういう話は聞いたことがありません。  
23. 医師：めまいが起こる時、意識を失ったりぼんやりすることはありませんか？  
24. 患者：いえ、意識ははっきりしています。  
25. 医師：症状が出ている間、周りのもので気になる異常はありますか？  
26. 患者：特に変わったことは感じません。  
27. 医師：めまいの後、ふらつきや動揺感は感じますか？  
28. 患者：はい、動揺感は少し続きます。  
29. 医師：どれくらい続きますか？  
30. 患者：数分から数十分くらいです。  
31. 医師：頭痛や首の痛みはありますか？  
32. 患者：頭痛も首の痛みもありません。  
33. 医師：めまいが起きる前に何か特別なことをしましたか？  
34. 患者：特に思い当たることはありません。  
35. 医師：日常生活に支障が出ているとのことですが、どんな状況が困っていますか？  
36. 患者：寝返りをしたり上の物を取ったりするのが怖くて、家事や作業ができません。  
37. 医師：なるほど。それはお困りですね。最近、特に何かストレスや心配事はありましたか？  
38. 患者：特に思い当たることはありませんね。  
39. 医師：普段の睡眠や食事は問題ありませんか？  
40. 患者：睡眠も食事も問題ありません。  
41. 医師：寝返りをしたときだけ症状が出ると言いましたが、他の体勢でめまいを感じたことはありますか？  
42. 患者：上を向くときと寝返りのときだけです。  
43. 医師：めまいの頻度はどれくらいですか？  
44. 患者：毎日1～2回くらいはあります。  
45. 医師：症状が出た時に、目が勝手に動いているような感じがしますか？  
46. 患者：はい、少し感じます。  
47. 医師：わかりました。診察をして詳しく見てみましょう。  
48. 患者：よろしくお願いします。  
49. 医師：お話をうかがう限り、「良性発作性頭位めまい症」という病気の可能性が高いです。  
50. 患者：そうですか。初めて聞きましたが、それは治る病気ですか？  "
