"1. 医師：こんにちは。今日はどんな症状で来られましたか？  
2. 患者：2日前から頭がすごく痛くて、右側だけなんですけど、ずっと続いてて辛いんです。  
3. 医師：右側だけということですが、どのあたりが痛みますか？  
4. 患者：右のこめかみから後ろの方までズキズキする感じです。  
5. 医師：そのズキズキする痛みは、何かきっかけで始まりましたか？  
6. 患者：特に何かあったわけじゃないんですけど、だんだんひどくなった感じです。  
7. 医師：他にどんな症状がありますか？例えば、吐き気とか目がちかちかする感じとか。  
8. 患者：あります、吐き気がして、光が眩しくて目を閉じて暗いところにいたくなります。  
9. 医師：それは頭痛と一緒に出てきますか？  
10. 患者：そうですね、特に頭がすごく痛くなるときに強く感じます。  
11. 医師：過去にも同じような頭痛を経験したことはありますか？  
12. 患者：はい、何回かありますけど、今回はいつもよりもひどいです。  
13. 医師：過去の頭痛はどうやって治していましたか？  
14. 患者：市販の頭痛薬を飲んで休むと、そのうち治ってました。  
15. 医師：市販薬は今回も試されましたか？  
16. 患者：はい、でも全然効かなくて…。  
17. 医師：頭痛の痛みは他の場所に広がることはありますか？  
18. 患者：いや、右側だけです。  
19. 医師：最近、何らかのストレスや睡眠不足、食生活の変化はありましたか？  
20. 患者：仕事が忙しくて少し睡眠不足だったかもしれません。  
21. 医師：頭痛が始まる前に特に食べたものやしたことは覚えてますか？  
22. 患者：チョコレートを食べたくらいで他は特に思い当たらないです。  
23. 医師：頭痛が出る時、何か前触れのようなものを感じたことはありますか？  
24. 患者：目がチカチカしたり、ぼやけることがたまにあるかもです。  
25. 医師：なるほど。それ以外に痛み以外の症状で困っていることはありませんか？  
26. 患者：それ以外は特にないです。ただこの頭痛で仕事に支障が出て困ります。  
27. 医師：どのくらい痛みが続くことが多いですか？  
28. 患者：普段は1日とかで治るんですが、今回は2日ずっと続いてます。  
29. 医師：今まで医師に相談されたことはありますか？  
30. 患者：いえ、今回こんなにひどくなったのは初めてなので…。  
31. 医師：痛みの程度ですが、0が全く痛くない、10がこれまで経験した中で最も痛いとすると、どれくらいですか？  
32. 患者：8か9くらいだと思います。  
33. 医師：頭痛が始まる時間帯に特に規則性はありますか？  
34. 患者：特に決まってないですね。朝も夜も痛いです。  
35. 医師：頭痛の間に目の痛みや視力のぼやけはありますか？  
36. 患者：視力は変わらないですが、眩しく感じます。  
37. 医師：耳鳴りやめまいはありますか？  
38. 患者：いえ、それはないです。  
39. 医師：首や肩のこりはどうですか？  
40. 患者：少し凝ってる感じはありますけど、それが原因かはわからないです。  
41. 医師：最近、風邪を引いたり体調を崩したことはありましたか？  
42. 患者：いえ、体調は普段通りです。  
43. 医師：熱や寒気などはどうですか？  
44. 患者：熱や寒気はないですね。  
45. 医師：睡眠不足とおっしゃいましたが、どのくらい寝れていますか？  
46. 患者：普段より1、2時間少ない感じで5時間くらいです。  
47. 医師：頭を動かしたり、咳をすると痛みが変わることはありますか？  
48. 患者：動かすと少し悪化する気がします。  
49. 医師：わかりました。総合的に考えると、以前からある片頭痛が今回は特に強く出ている可能性が高いです。  
50. 患者：そうなんですね…。どうしたらいいんでしょうか？  
（ここで診断が確定されましたので終了します）"
