"1. 医師：こんにちは。本日はどのようなご相談でしょうか。  
2. 患者：最近、集中力が落ちてしまっていて、体がだるい感じが続いています。  
3. 医師：それはいつ頃から始まりましたか。  
4. 患者：3か月くらい前です。  
5. 医師：他に気になることはありますか、例えば眠れないとか。  
6. 患者：それが、寝つきが悪くて、夜中にもよく目が覚めるんです。  
7. 医師：入眠にどのくらい時間がかかりますか。  
8. 患者：だいたい30分とか、調子が悪いと1時間以上かかることもあります。  
9. 医師：夜中に目が覚めた時、その後はまた眠れますか。  
10. 患者：しばらく起きてしまいますね。1時間くらい横になっていることもあります。  
11. 医師：朝起きた時の気分はどうですか。すっきりしていますか。  
12. 患者：全然すっきりしません。重たい感じで、疲れが取れていないです。  
13. 医師：仕事中や昼間に眠気を感じることはありますか。  
14. 患者：眠気はあまり感じないんですが、集中力が持たないんです。  
15. 医師：ストレスを感じることはありますか。  
16. 患者：はい、職場で残業が多く、人間関係のストレスもあります。  
17. 医師：ご家族との関係はどうですか。  
18. 患者：最近は家族ともあまり会話をしなくなりました。  
19. 医師：リラックスできる時間は取れていますか。  
20. 患者：あまり取れていない気がします。週末も仕事のことを考えてしまいます。  
21. 医師：生活習慣について伺いたいのですが、カフェインはよく摂りますか。  
22. 患者：コーヒーを1日3杯くらい飲みます。  
23. 医師：アルコールはどうですか。  
24. 患者：週に3回くらい、少しだけ飲みます。  
25. 医師：寝る前にスマートフォンやテレビを見たりしますか。  
26. 患者：はい、布団に入った後もスマートフォンを見ています。  
27. 医師：運動習慣はありますか。  
28. 患者：最近はほとんど運動してないですね。  
29. 医師：体重の変化や食欲に変わったことはありましたか。  
30. 患者：体重は変わっていません。食欲も普通です。  
31. 医師：過去に同じような症状で受診されたことはありますか。  
32. 患者：いえ、初めてです。  
33. 医師：服用中のお薬や健康食品などはありますか。  
34. 患者：特に何も飲んでいません。  
35. 医師：ご両親や兄弟で睡眠関連の問題を抱えている方はいらっしゃいますか。  
36. 患者：特に聞いたことはないです。  
37. 医師：日中の活動量はどうですか。疲れやすさはありますか。  
38. 患者：疲れやすい感じはしますが、動けないということはないです。  
39. 医師：ご自分で気になる点は他にありますか。  
40. 患者：集中力が戻らないと、仕事がうまくいかなくて困ります。  
41. 医師：夜間の血の巡りや呼吸が不規則になるなどの変化は感じませんか。  
42. 患者：いえ、特にそういう感覚はありません。  
43. 医師：眠るために自分で何か工夫はされていますか。  
44. 患者：お風呂に少し長めに入るくらいです。  
45. 医師：結果的に効果を感じられましたか。  
46. 患者：それでもあまり眠りの質が改善された実感はないです。  
47. 医師：現在、あなたが感じられている症状を総合的に見ると、不眠症の可能性が高そうです。  
48. 患者：やはり不眠なんですね…。  
49. 医師：はい。ただし一部心身の影響も考慮して、睡眠衛生について改善をしていきましょう。  
50. 患者：わかりました。改善に取り組んでみます。  "
