"1. 医師：今日はどうされましたか？  
2. 患者：最近、なかなか眠れなくて困っています。  
3. 医師：眠れないのはいつ頃からですか？  
4. 患者：1か月前くらいからです。  
5. 医師：具体的にはどういう状態ですか？  
6. 患者：寝ようとしても1時間以上眠れなくて、夜中も2〜3回起きてしまいます。  
7. 医師：夜中に起きた後、再び寝るのにはどれくらい時間がかかりますか？  
8. 患者：だいたい30分くらいはかかりますね。  
9. 医師：睡眠時間は合計でどのくらい取れていますか？  
10. 患者：4〜5時間くらいです。  
11. 医師：翌朝の体調や気分はどうですか？  
12. 患者：すごく疲れていて、体がだるい感じです。  
13. 医師：日中の活動に影響はありますか？  
14. 患者：仕事中に集中できなくて、作業効率も下がっています。  
15. 医師：仕事にストレスを感じることはありますか？  
16. 患者：最近、業務が増えて忙しいですし、人間関係も少しギクシャクしています。  
17. 医師：仕事以外で何か心配事はありますか？  
18. 患者：今のところは仕事に関することが一番大きいです。  
19. 医師：眠れないことで普段と違う気分の変化はありますか？  
20. 患者：少しイライラしたり不安に感じることが増えました。  
21. 医師：過去に不眠や心の問題で治療を受けたことはありますか？  
22. 患者：5年前にうつ病と診断されて治療していました。  
23. 医師：その時はどのような治療を受けましたか？  
24. 患者：薬を飲んで治療していましたが、今はもう服用していません。  
25. 医師：どのくらい前に薬を中止しましたか？  
26. 患者：3年前くらいだったと思います。  
27. 医師：現在、体調に関する他の症状はありますか？  
28. 患者：特にありません。  
29. 医師：何か持病や現在治療中の病気はありますか？  
30. 患者：いいえ、ありません。  
31. 医師：普段の生活リズムについて教えてください。  
32. 患者：仕事の終わりが遅くて、夜遅く寝ることが多いですが、早朝には起きています。  
33. 医師：寝る前にカフェインやアルコールを摂る習慣はありますか？  
34. 患者：夜にコーヒーを飲むことはありますが、アルコールはほとんど飲みません。  
35. 医師：寝る前にスマートフォンやテレビを見ていますか？  
36. 患者：はい、布団の中でスマホをいじっています。  
37. 医師：睡眠導入に試していることはありますか？  
38. 患者：お風呂に長めに入っていますが、あまり効果がないです。  
39. 医師：日中に仮眠をとることはありますか？  
40. 患者：いいえ、仕事中なので眠る時間はありません。  
41. 医師：食事習慣や運動について、特に変わった点はありますか？  
42. 患者：最近は忙しくて運動する時間がほとんどありません。  
43. 医師：気分の落ち込みや意欲低下を感じますか？  
44. 患者：少しありますが、不眠のせいだと思います。  
45. 医師：不眠以外に身体的な異常を感じたりすることは？  
46. 患者：ありません。  
47. 医師：血液検査など特に問題はありませんでした。過去の病歴と現在の不眠症状からうつ再発ではなさそうですが、ストレスが大きく原因として考えられますね。  
48. 患者：そうですか…。  
49. 医師：診断としては不眠症と考えます。これに対処するため生活改善と薬物療法を行いたいと思います。  
50. 患者：わかりました。生活改善ってどんな内容ですか？"
