"1. 医師：こんにちは、今日はどうされましたか？
2. 長谷川：最近、息切れと咳がひどくて、特に夜や運動後に息が苦しくなるんです。
3. 医師：それはお辛いですね。いつ頃からその症状が始まりましたか？
4. 長谷川：2週間前くらいです。
5. 医師：以前にも同じような症状があったことはありますか？
6. 長谷川：いいえ、こんなに息苦しくなるのは初めてです。
7. 医師：最近、特にストレスや生活環境に変化はありましたか？
8. 長谷川：特に変わったことはないです。でも、学校で花粉がいっぱい飛んでるって聞きます。
9. 医師：アレルギーをお持ちですか？
10. 長谷川：アレルギー性鼻炎があります。
11. 医師：咳や息切れが悪化する特定の状況はありますか？
12. 長谷川：夜それから運動した後ですね。
13. 医師：他に症状はありますか？例えば鼻が詰まったりとか。
14. 長谷川：はい、鼻もよく詰まっています。
15. 医師：これまでに薬を飲んだり、何か対処をしましたか？
16. 長谷川：いいえ、まだ何も。
17. 医師：呼吸器系の他に過去に何か大きな病気をされたことはありますか？
18. 長谷川：特にありません。
19. 医師：家族に似たような症状を持つ方はいますか？
20. 長谷川：母が花粉症です。
21. 医師：学校での体育の授業には影響がありますか？
22. 長谷川：はい、最近は思うようにできていません。
23. 医師：呼吸をするとき、どんな音がしますか？
24. 長谷川：ヒューヒューって感じです。
25. 医師：鼻以外に肌や目に異常はないですか？
26. 長谷川：特にないです。
27. 医師：診察しますね。少し深呼吸をしましょう。
28. 長谷川：わかりました。
29. 医師：（聴診器を用いて）呼気の時に少しヒューヒュー音がしますね。
30. 長谷川：そうですか。
31. 医師：これからいくつか検査をしていきます。
32. 長谷川：お願いします。
33. 医師：スパイロメトリーで呼吸の状態を見ますね。
34. 長谷川：はい。
35. 医師：検査結果が出ました。1秒率が低下していますね。
36. 長谷川：それってどういうことですか？
37. 医師：息を吐く力が弱くなっているということです。
38. 長谷川：なるほど。
39. 医師：日中や夜間の呼吸の状態を詳しく知るためにピークフローメータを使います。
40. 長谷川：わかりました。
41. 医師：ピークフローメータの変動が大きいですね。
42. 長谷川：やっぱり変ですか？
43. 医師：はい、少し不安定です。
44. 医師：次に血液検査の結果です。好酸球が増えていて、IgE値も高いです。
45. 長谷川：それはアレルギーと関係がありますか？
46. 医師：はい、可能性があります。
47. 医師：アレルゲン特異的IgE抗体検査でスギ花粉の反応が出ています。
48. 長谷川：ええ、やっぱり花粉ですか。
49. 医師：これらの結果を踏まえて、気管支喘息と診断します。
50. 長谷川：そうなんですね。治療法はありますか？"
