"1. 医師：今日はどうされましたか？  
2. 患者：急に呼吸が苦しくなって、発熱と咳もあります。  
3. 医師：この症状はいつから始まりましたか？  
4. 患者：約1週間前からです。最初は軽い咳だけだったんですが。  
5. 医師：咳がどのくらい続いていましたか？  
6. 患者：最初の数日は軽い咳で、3日目から急に悪化しました。  
7. 医師：呼吸困難はどのように感じますか？  
8. 患者：深呼吸すると特に苦しいです。  
9. 医師：発熱は何度くらいありましたか？  
10. 患者：38度を超えたこともあります。  
11. 医師：それ以外に体調の変化はありましたか？  
12. 患者：特に他の症状はないですが、少し汗をかいています。  
13. 医師：ご旅行や感染のあった方との接触はありましたか？  
14. 患者：最近の旅行はありませんし、周囲に病気の人もいませんでした。  
15. 医師：喘息やアレルギーの既往歴はありますか？  
16. 患者：いいえ、そういうのはありません。  
17. 医師：咳は乾いた咳ですか、それとも痰が出る咳ですか？  
18. 患者：少し痰が出る感じもあります。  
19. 医師：咳が出るときに胸の痛みはありますか？  
20. 患者：痛みは特に感じません。  
21. 医師：呼吸が苦しい時、音が聞こえることはありますか？  
22. 患者：はい、時々ゼーゼー音がする気がします。  
23. 医師：家族の方に何か気になることはありますか？  
24. 患者家族：急に具合が悪くなったので心配しています。  
25. 医師：今までに同じようなことがあったか、家族の方は覚えていますか？  
26. 患者家族：そんなことはなかったと思います。  
27. 医師：最近の食事や生活習慣に変わったことはありますか？  
28. 患者：特に変わったことはないと思います。  
29. 医師：運動やアレルゲンに触れたことはありますか？  
30. 患者：いつも通り運動していますし、アレルゲンは考えていません。  
31. 医師：他の症状、例えば頭痛やを感じますか？  
32. 患者：頭痛はないです。  
33. 医師：咳が出る時、夜も咳が出ますか？  
34. 患者：夜は少し咳き込むことがあります。  
35. 医師：それについて、睡眠はどうですか？  
36. 患者：あまりよく眠れません。  
37. 医師：酸素の値は少し低いようですが、息苦しさはどのくらいですか？  
38. 患者：少し動くだけでも息が上がってしまいます。  
39. 医師：体を動かした後の疲れはどうですか？  
40. 患者：すごく疲れます。  
41. 医師：熱はいつもある感じですか？  
42. 患者：時々上がったり下がったりします。  
43. 医師：喉は痛んだり、腫れたりしていますか？  
44. 患者：喉は特に気になりません。  
45. 医師：これまでに病院にかかったことはありますか？  
46. 患者：特にありません。  
47. 医師：最近のストレスや悩みはありませんか？  
48. 患者：期末試験のことが少し心配です。  
49. 医師：ストレスが体に影響を与えることもありますね。  
50. 医師：それでは、いくつか検査をしてみましょう。結果から急性好酸球性肺炎があるようです。  
51. 患者：それはどういう病気ですか？  
52. 医師：肺の中に好酸球が増えてしまう病気です。"
