"1. 医師：今日はどうされましたか？  
2. 患者：最近、目や口がずっと乾燥していて困っています。  
3. 医師：乾燥を感じ始めたのはいつ頃からですか？  
4. 患者：目の乾燥は2年前くらいからで、口の乾きは1年前くらいからですね。  
5. 医師：徐々にひどくなってきた感じですか？  
6. 患者：はい、特に最近は本当に生活に支障が出るほどです。  
7. 医師：具体的にどんな場面で気になりますか？  
8. 患者：食事中に飲み込みにくかったり、話すときにすぐ喉が渇いたりします。  
9. 医師：目の乾燥についてはどうですか？痛みや視界のぼやけなどはありますか？  
10. 患者：痛みはないですが、目がごろごろする感じで、視界がかすむこともあります。  
11. 医師：人工涙液や目薬などは使っていますか？  
12. 患者：市販の人工涙液を使ってみましたが、あまり効果はありませんでした。  
13. 医師：最近ほかに気になる症状はありますか？  
14. 患者：半年前くらいから指の関節が痛むようになりました。  
15. 医師：手の甲や指関節の腫れや変形はありますか？  
16. 患者：腫れは少しあるように感じますが、変形はまだないですね。  
17. 医師：特に痛みが強い時間帯はありますか？  
18. 患者：朝起きた直後が一番痛くて、指が固まる感じがあります。  
19. 医師：その朝の指のこわばりはどのくらい続きますか？  
20. 患者：30分くらいでしょうか、その後は少し楽になります。  
21. 医師：日中や夕方にも指が痛むことはありますか？  
22. 患者：少し痛みは感じますが、朝ほどではありません。  
23. 医師：今まで同じような症状になったことはありますか？  
24. 患者：いいえ、このように長引いたり強い症状は初めてです。  
25. 医師：他に身体中で乾燥が気になるところはありますか？  
26. 患者：特にありませんが、口と目が一番気になります。  
27. 医師：他に全身的なだるさや発熱、体重減少などはありませんか？  
28. 患者：疲れやすい感じはありますが、発熱や体重減少はありません。  
29. 医師：食事や飲み物の好みは変わりましたか？  
30. 患者：特に変わりませんが、飲み物を飲む量が多くなった気がします。  
31. 医師：最近処方された薬や新しいサプリメントなどはありますか？  
32. 患者：いいえ、特に飲んでいません。  
33. 医師：何かご家族や親戚でリウマチや膠原病の方はいらっしゃいますか？  
34. 患者：いいえ、家族にはそういう病気の人はいません。  
35. 医師：乾燥の症状に季節や環境の影響は感じますか？  
36. 患者：特に季節は関係ないですが、エアコンの効いた部屋にいると悪化します。  
37. 医師：関節の痛みが出た時期と乾燥症状が出始めた時期に何か関連はあると思いますか？  
38. 患者：乾燥がかなりひどくなってから関節の痛みが始まりました。  
39. 医師：ちなみに、ドライマウスが影響して食事中にむせたりはしますか？  
40. 患者：はい、時々むせてしまって飲み物で流し込むことがあります。  
41. 医師：わかりました。他に口の中で痛みや炎症、白い斑点などはありませんか？  
42. 患者：特に気づいていませんが、歯茎も最近乾いた感じがします。  
43. 医師：目の乾燥に加えて、光がまぶしい、涙が出る感じなどはありますか？  
44. 患者：涙はほとんど出なくて、むしろ目が渇きすぎています。  
45. 医師：関節の症状について、強い炎症のような赤みや熱感はありますか？  
46. 患者：そういうのは無いですね、ただズキズキと痛む感じです。  
47. 医師：今までの生活習慣やストレスで何か変わったことはありましたか？  
48. 患者：特に変わったことは無いように思います。  
49. 医師：これらの症状について一度詳しい検査を行ってみましょう。  
50. 医師：結果から判断しますと、これはSjögren症候群（シェーグレン症候群）という病気です。  "
