"1. 医師：こんにちは、今日はどうされましたか？
2. 患者家族：こんにちは。娘が数日前から高熱があって、発疹も出てきたので心配で連れてきました。
3. 医師：なるほど、熱はいつから出始めましたか？
4. 患者家族：4日前から続いています。
5. 医師：他に症状はありますか？
6. 患者家族：鼻水と咳もあります。
7. 医師：発疹はいつごろからですか？
8. 患者家族：3日前くらいから出始めました。
9. 医師：発疹の場所や形状について教えてもらえますか？
10. 患者家族：頸部や体幹に広がった赤い発疹です。
11. 医師：口の中に何か変化はありますか？
12. 患者家族：白い小さな斑点のようなものがあります。
13. 医師：それはいつ気付きましたか？
14. 患者家族：2日前です。
15. 医師：結膜の充血はどうですか？
16. 患者家族：あります。
17. 医師：体温はどのくらいですか？
18. 患者家族：今朝も39℃台でした。
19. 医師：最近、誰かの病気にかかったりしましたか？
20. 患者家族：ありませんが、無防備で外出することが多かったです。
21. 医師：最近、予防接種は受けていますか？
22. 患者家族：予防接種はしばらく受けていません。
23. 医師：血液検査と迅速抗体検査を行いました。少しお話ししてもいいですか？
24. 患者家族：はい、お願いします。
25. 医師：血液検査ではリンパ球が多く、炎症反応はさほど強くありません。
26. 患者家族：それはどういう意味ですか？
27. 医師：体がウイルスと戦っていることを示しています。
28. 医師：迅速抗体検査で麻疹抗体IgMが陽性です。
29. 患者家族：それって良くないんですか？
30. 医師：麻疹感染が確認されたことになります。
31. 医師：治療についてお話ししますが、まずは安静を心掛けてください。
32. 患者家族：分かりました。
33. 医師：アセトアミノフェンで熱の管理をします。
34. 患者家族：それで大丈夫なんですか？
35. 医師：まずは発熱の対策として有効です。
36. 医師：水分補給も忘れずに行ってください。
37. 患者家族：心配なので、しっかりと水分をとらせます。
38. 医師：咳が強い場合はフルチカゾンの吸入を考えます。
39. 患者家族：わかりました。吸入の仕方も教えてください。
40. 医師：もちろんです。薬局で指導があります。
41. 医師：発疹については時とともに軽快します。
42. 患者家族：入院が必要でしょうか？
43. 医師：現段階では、ご自宅での管理で大丈夫かと思いますが、症状が悪化すれば入院も考慮します。
44. 医師：ワクチン接種計画についても後ほどお話ししましょう。
45. 患者家族：それは重要ですね。
46. 医師：予防接種の記録を確認して、スケジュールをご提示します。
47. 患者家族：はい、できるだけ早くお願いしたいです。
48. 医師：もう少し状態が安定したら再感染防止のためしっかりと計画を立てましょう。
49. 医師：体温が少し下がり始めたら安心してください。
50. 患者家族：ありがとうございます。早く元気になってほしいです。"
