"1. 医師：今日はどんなことで来院されましたか？
2. 患者：熱があって、咳が出て、目も赤くなっちゃったんです。
3. 医師：熱はいつからありますか？
4. 患者：2日前からです。
5. 医師：最初の熱はどのくらいでしたか？
6. 患者：38.5℃くらいでした。
7. 医師：その後、咳や目の症状はどうなりましたか？
8. 患者：咳がよく出るようになって、目が腫れてきました。
9. 医師：咳は頻繁に出ますか？
10. 患者：はい、よく出ます。
11. 医師：痰は出ますか？
12. 患者：いいえ、痰は出ません。
13. 医師：結膜炎の方はどうですか？
14. 患者：目が赤くて、涙がいっぱい出てきます。
15. 医師：熱は夜間に悪化しますか？
16. 患者：はい、高熱が続くことがあります。
17. 医師：今の体温はどのくらいですか？
18. 患者：今は39.2℃あると思います。
19. 医師：咳をするときに何か痛みはありますか？
20. 患者：痛みはないです。
21. 医師：周りの人に同じような症状の人はいますか？
22. 患者家族：いいえ、他の家族は大丈夫です。
23. 医師：最近、どこかに行ったりしましたか？
24. 患者：公園に行ったりしました。
25. 医師：外出の際に特に感染症が流行っている場所には行きませんでしたか？
26. 患者家族：特にそんなところには行ってないです。
27. 医師：食欲はありますか？
28. 患者：少しは食べてます。
29. 医師：水分は十分に摂れていますか？
30. 患者：水は飲んでます。
31. 医師：お腹の調子はどうですか？
32. 患者：お腹は大丈夫です。
33. 医師：咳はどんな感じですか、乾いた咳ですか？
34. 患者：はい、乾いてます。
35. 医師：目以外の部分に腫れや発疹はありますか？
36. 患者：特にありません。
37. 医師：咽頭の方はどうですか？飲み込みにくさはありますか？
38. 患者：ちょっと飲み込みにくいかも。
39. 医師：最近、ワクチンは受けましたか？
40. 患者家族：以前、予防接種は受けました。
41. 医師：その後、他に体調を崩したことはありましたか？
42. 患者家族：特にはありませんでした。
43. 医師：熱が上がったり下がったりしますか？
44. 患者：そうですね、上がったりします。
45. 医師：疲れている感じはありますか？
46. 患者：少し疲れてる気がします。
47. 医師：咳は夜にひどくなることがありますか？
48. 患者：はい、夜に多い気がします。
49. 医師：総合的に見て、結膜炎や咳、発熱が続いていますね。
50. 医師：診断は麻疹と考えます。"
