"1. 医師：本日はどうされましたか？  
2. 患者：ここ1年くらい、体中の関節や筋肉が痛くて、最近はさらに疲れやすくなりました。  
3. 医師：痛みはどんな感じですか？鋭い痛みですか、それとも鈍い感じですか？  
4. 患者：鈍い感じで、ずっと続いている感じです。特に朝方がひどいです。  
5. 医師：痛みが悪化するとき、何か特定の状況がありますか？  
6. 患者：天気が悪い日や寒い日には特に痛みがひどくなります。  
7. 医師：これまでに似たような症状があったことはありますか？  
8. 患者：いいえ、ここ1年くらいで急に現れました。  
9. 医師：どのくらい疲れやすいと感じますか？日常生活に影響はありますか？  
10. 患者：何をするにも億劫で、家事も途中で休まないと続かないほどです。  
11. 医師：睡眠はどうですか？しっかり眠れていますか？  
12. 患者：眠れないんです。不眠というか、寝ても疲れが全然取れない感じです。  
13. 医師：以前に同じような不調で病院を受診されたことはありますか？  
14. 患者：数年前にうつ病で治療を受けていましたが、今は治療していません。  
15. 医師：それ以来、気分の落ち込みや不安感はありますか？  
16. 患者：気分的にはたまに落ち込むくらいですが、今のところそれほどではないです。  
17. 医師：関節の腫れや赤み、熱っぽさを感じることはありますか？  
18. 患者：いいえ、そういう症状はないと思います。  
19. 医師：痛みが出たときに何か特別に対処していますか？  
20. 患者：温めるくらいですけど、それでもあまり効かないです。  
21. 医師：運動は普段どのくらいされていますか？  
22. 患者：ここ最近は痛みや疲れのせいでほとんどできていません。  
23. 医師：他に気になる症状はありますか？例えば手足のしびれなど。  
24. 患者：いいえ、特にしびれは感じていません。  
25. 医師：頭痛や胃の痛みなど、他の部位の症状はどうですか？  
26. 患者：頭痛はたまにありますが、胃の調子とかは特に問題ないです。  
27. 医師：以前のうつ病の診断の時、どのような治療を受けていましたか？  
28. 患者：薬を飲んでいたのと、少しカウンセリングも受けていました。  
29. 医師：現在はその薬を使っていますか？  
30. 患者：いいえ、数年前にやめました。  
31. 医師：血縁の中に同じような症状で悩んでいる方はいますか？  
32. 患者：いいえ、家族にはいません。  
33. 医師：生活リズムは規則的ですか？勤務時間や睡眠時間は？  
34. 患者：昼間は家で家事中心ですが、夜の睡眠が浅いので朝はなかなか起きられません。  
35. 医師：食事は問題なくとれていますか？  
36. 患者：はい、食欲はあります。  
37. 医師：何か特定の食品を食べた後に悪化することは？  
38. 患者：いいえ、食べ物で変化は感じていません。  
39. 医師：体重の増減はありますか？  
40. 患者：特に変わっていないです。  
41. 医師：痛みが始まった頃に生活の中で大きな変化やストレスがありましたか？  
42. 患者：うーん、特に覚えはないんですが…。  
43. 医師：現在、特別なストレスを感じていますか？  
44. 患者：体の痛みや疲れで気が滅入ることは多いですが、特別何かって言われると分かりません。  
45. 医師：健康診断や他の病院で最近検査を受けましたか？  
46. 患者：特に受けていません。  
47. 医師：最近、何か薬を新たに始めたり、中止したりしましたか？  
48. 患者：いいえ、薬は何も飲んでいません。  
49. 医師：過去の採血や画像検査などで異常を指摘されたことはありますか？  
50. 患者：ありません。  
51. 医師：今回の症状について、診察や検査を行った結果、線維筋痛症と診断されます。  
52. 患者：線維筋痛症って何ですか？  
53. 医師：体中に持続的な痛みや疲れを感じる症状で、原因は明らかでないことが多いですが、原因となる炎症や関節疾患は否定されています。  
54. 患者：そうなんですね…。治るんですか？  
55. 医師：治療薬や非薬物療法で症状をコントロールすることが可能です。"
