"1. 医師：今日はどうされましたか？
2. 患者：3日前から右の上の方が痛くて、昨日から熱も出てきました。
3. 医師：右上腹部の痛みはどんな感じですか？
4. 患者：最初は軽かったんですが、今は結構痛いです。じわじわときます。
5. 医師：痛み以外に何か他の症状はありますか？
6. 患者：食欲がなくて、たまに気持ち悪くなります。
7. 医師：黄疸があるようですね。いつから気づかれましたか？
8. 患者：昨日からです。鏡を見たら顔が黄色っぽくてびっくりしました。
9. 医師：以前に黄疸が出たことはありましたか？
10. 患者：いえ、こんなのは初めてです。
11. 医師：熱は昨日からと言っていましたね。最高で何度くらいでしたか？
12. 患者：38.5度くらいでした。
13. 医師：ここ最近、何か変わったものを食べたりしましたか？
14. 患者：特には思い当たりませんが、普段通りの食事をしてました。
15. 医師：他に体調が悪いところはありますか？
16. 患者：特にありません。右のお腹以外は。
17. 医師：わかりました。病院に来る前に何か薬を飲みましたか？
18. 患者：いえ、特に何も。
19. 医師：既往歴は特にないとのことですが、持病や定期的に通院しているところはありますか？
20. 患者：いいえ、普段は健康です。
21. 医師：周囲に同じような症状の方はいらっしゃいますか？
22. 患者：家族も友人も普通で、私だけ調子が悪いんです。
23. 医師：ここ最近、旅行や新しい場所には行かれましたか？
24. 患者：特に遠出はしていません。
25. 医師：現在、仕事や生活で大きな変化はありましたか？
26. 患者：今のところ特に変化はないです。
27. 医師：プライベートや職場でストレスを感じることはありますか？
28. 患者：最近は特に何も。
29. 医師：食事の変化や新しいサプリメントなどは？
30. 患者：そういうのもないですね。忙しくて食事が不規則なことぐらいですかね。
31. 医師：普段、体を動かしている時に痛みが増すことはありますか？
32. 患者：動くと少し痛みが増す感じがあります。
33. 医師：目を見て確認しましたが、黄ばんでいますね。いつごろから気づいたと言いましたか？
34. 患者：昨日です。
35. 医師：飲み物はしっかり摂っていますか？
36. 患者：熱があるので、なるべく多めに飲むようにしています。
37. 医師：食欲がないのはいつからですか？
38. 患者：3日前からです。
39. 医師：最近、体重減少や増加はありましたか？
40. 患者：特に気づいたことはありません。
41. 医師：腹部を少し診察しますね。痛みが強い場所を教えてください。
42. 患者：ここです、この右の上の部分です。
43. 医師：ここ、痛いですか？
44. 患者：うん、結構痛いです。
45. 医師：この痛みをMurphy徴候といいますが、何か心当たりは？
46. 患者：名前は初めて聞きました。
47. 医師：検査の結果、炎症反応が高く出ています。
48. 患者：やっぱり、何か炎症があるんですね。
49. 医師：腹部超音波では胆嚢に結石があり、腫大と壁が厚くなっていました。
50. 患者：それが原因だったんですね。"
