"1. 医師：今日はどうされましたか？  
2. 患者：3日前からお腹の右上のあたりが痛み出して、だんだんひどくなってきたんです。  
3. 医師：痛みはどんな感じでしたか？鋭い痛みですか？それとも鈍い感じですか？  
4. 患者：最初は鈍い痛みだったんですが、ずっと痛みが続いています。  
5. 医師：その痛みはどこか他の場所に広がる感じはありますか？  
6. 患者：はい、背中の方にも広がるような感じがあります。  
7. 医師：痛みが出てから何か治療を試しましたか？  
8. 患者：市販の痛み止めを飲んでみたんですが、全然効きませんでした。  
9. 医師：発熱などはありましたか？  
10. 患者：はい、熱もあって体がだるいです。  
11. 医師：熱はどのくらいありますか？測りましたか？  
12. 患者：昨日測った時は38度5分でした。  
13. 医師：他に気になる症状はありますか？  
14. 患者：昨日あたりから尿の色が濃くなって、鏡で見たら目が黄色っぽくなっていたんです。  
15. 医師：これまでに似たような症状を経験したことはありましたか？  
16. 患者：いいえ、初めてです。  
17. 医師：これまで大きな病気や手術をされたことはありますか？  
18. 患者：特にありません。  
19. 医師：普段お薬は何か飲んでいますか？  
20. 患者：飲んでいません。  
21. 医師：ご家族で何か病気をお持ちの方はいらっしゃいますか？  
22. 患者：特に思い当たりません。  
23. 医師：普段、お酒はよく飲まれますか？  
24. 患者：たまに晩酌する程度です。  
25. 医師：痛みが出るきっかけになるようなこと、例えば脂っこいものを食べた後などはありませんでしたか？  
26. 患者：そういえば痛みが出る少し前に揚げ物を食べました。  
27. 医師：揚げ物を食べた後にお腹の調子が悪くなったことは以前にもありましたか？  
28. 患者：それはなかったです。  
29. 医師：痛みが強くなったタイミングというのは覚えていますか？  
30. 患者：3日前の夕方から次第に強くなったと感じています。  
31. 医師：便やお腹の張りについて何か違和感はありましたか？  
32. 患者：便は特に変わりありませんが、お腹がちょっと張る感じはあります。  
33. 医師：皮膚のかゆみや赤い斑点、むくみなどは見られませんか？  
34. 患者：特にないです。  
35. 医師：黄疸が出てきたのはいつごろ気づきましたか？  
36. 患者：昨日朝、鏡で気づきました。  
37. 医師：今、何か痛み以外に特に辛い症状はありますか？  
38. 患者：身体がすごくだるいのと、熱が高いのがつらいです。  
39. 医師：体温も少し測ってみましょう。今日の体温は38.9℃ですね。  
40. 患者：やっぱりまだ熱が下がりませんね。  
41. 医師：お腹を少し診察しますね。触られるのはつらいですか？  
42. 患者：右の上の方を押されるとちょっと痛いです。  
43. 医師：少し深呼吸してください。今触ると痛みがありますか？  
44. 患者：ありました。息を止めたくなるくらい痛いです。  
45. 医師：この痛みは昨日も同じくらい強かったですか？  
46. 患者：そうですね、あまり変わらない感じです。  
47. 医師：結果からすると、急性胆嚢炎の可能性が高いです。担当診療科に詳しく診てもらいましょう。  
48. 患者：胆嚢炎ですか……どうすれば治りますか？  
49. 医師：治療には抗菌薬の投与や場合によっては手術が必要になります。詳しくご説明しますね。  
50. 患者：わかりました、お願いします。  "
