"1. 医師：こんにちは。今日はどうされましたか？
2. 患者：胸が痛いんです。
3. 医師：いつから痛みが始まりましたか？
4. 患者：4日前からです。
5. 医師：その痛みはずっと続いていますか？
6. 患者：はい、ずっとです。
7. 医師：他に症状はありますか？
8. 患者：冷や汗や動悸もあります。
9. 医師：汗はどのくらいの量ですか？
10. 患者：普通に家事をしているときにかく程度です。
11. 医師：胸の痛みは、どの辺に感じますか？
12. 患者：胸の真ん中あたりに圧迫感があります。
13. 医師：その痛みはどのような時に強くなりますか？
14. 患者：動いているときに強く感じます。
15. 医師：安静にすると楽になりますか？
16. 患者：はい、少し楽になります。
17. 医師：肩にも痛みはありますか？
18. 患者：左肩に少し放散痛があります。
19. 医師：その放散痛はいつから感じていますか？
20. 患者：胸の痛みと一緒に感じ始めました。
21. 医師：ご家族はこの症状について何か気づいていますか？
22. 患者家族：最近、母がよく疲れている様子を見ていました。
23. 医師：疲れやすさはいつから感じていましたか？
24. 患者：ここ1ヶ月くらいですかね。
25. 医師：以前にこのような痛みを感じたことはありますか？
26. 患者：いいえ、初めてです。
27. 医師：痛みの強さはどのくらいですか？
28. 患者：8割くらいで、我慢できないほどではないです。
29. 医師：他に持病はありますか？
30. 患者：糖尿病があります。
31. 医師：その糖尿病の管理はどのようにされていますか？
32. 患者：特に食事に気をつけています。
33. 医師：最近の食事はどうでしたか？
34. 患者：甘いものを控えているつもりです。
35. 医師：生活習慣について何か変わったことはありますか？
36. 患者：特に変わりはないと思います。
37. 医師：他の症状はありませんか？
38. 患者：最近、夜もよく眠れないことが多いです。
39. 医師：睡眠不足はここ最近のことですか？
40. 患者：はい、ストレスも感じています。
41. 医師：ストレスの原因は何ですか？
42. 患者：仕事が忙しくて…、それが影響しているかも。
43. 医師：胸の痛みは心配になりますね。
44. 患者：本当に不安です。
45. 医師：血圧は、普段はどのくらいですか？
46. 患者：130くらいです。
47. 医師：脈拍の変化は感じますか？
48. 患者：時折、心臓の鼓動が速くなることがあります。
49. 医師：それでは、少しお体を診させてくださいね。
50. 医師：心電図を取ってみましょう。その後、結果をお話しします。"
