"1. 医師：本日はどのような症状で来られましたか？  
2. 患者：最近、腰の痛みと右の足が痛くて歩くのが辛いんです。  
3. 医師：痛みはいつ頃から始まりましたか？  
4. 患者：3か月くらい前です。それからだんだんひどくなりました。  
5. 医師：最初のころは腰だけの痛みでしたか？  
6. 患者：はい、最初は腰だけだったんですが、しばらくして右のお尻から足の外側まで痛くなりました。  
7. 医師：その痛み、どのような時に悪化しますか？  
8. 患者：歩いている時が一番辛いです。5分くらい歩くと痛みが増して足が痺れてきます。  
9. 医師：その症状、座って休むとどうなりますか？  
10. 患者：座ると痛みが少し楽になります。  
11. 医師：何か治療は受けていますか？  
12. 患者：近くの病院で痛み止めをもらいましたけど、あまり効いている感じがしなくて。  
13. 医師：日常生活にはどのように支障が出ていますか？  
14. 患者：買い物に行くのも大変ですし、家事をするのも億劫になってしまいました。  
15. 医師：腰以外に痛みやしびれが広がることはありますか？  
16. 患者：最近は右足全体が重い感じです。  
17. 医師：足の力が入らないと感じたことはありますか？  
18. 患者：右足の親指が特に力が入りにくいんです。  
19. 医師：触られた感覚が違うと思ったことはありますか？  
20. 患者：右のふくらはぎの外側部分が少し鈍いような気がします。  
21. 医師：腰を前に曲げたり後ろに反らしたりした時に痛みはどうなりますか？  
22. 患者：腰を後ろに反らすと足の痛みがひどくなります。  
23. 医師：足を上げた時、痛みが増すことはありますか？  
24. 患者：右足を上げると痛みがかなり強くなります。  
25. 医師：普段の生活で、どの程度の距離を歩けますか？  
26. 患者：ちょっと散歩しようと思っても5分程度で歩くのをやめてしまいます。  
27. 医師：他に何か気になる症状や不安はありますか？  
28. 患者：そうですね、今後この痛みがもっとひどくなるんじゃないかと心配です。  
29. 医師：痛みが強くなったり減ったりする時間帯はありますか？  
30. 患者：朝は少しマシですけれど、夕方になると痛みが増してきます。  
31. 医師：最近、体重の変化や夜間の発熱などはありますか？  
32. 患者：特に変わりません。  
33. 医師：咳やくしゃみで腰や足の症状が悪化することは？  
34. 患者：咳をすると腰と足がズキっと痛む感じがします。  
35. 医師：ご自身やご家族に腰痛や足のトラブルを経験された方はいらっしゃいますか？  
36. 患者：私の母が歳を取ってから腰が痛いと言っていました。  
37. 医師：以前に腰や足を怪我したことはありますか？  
38. 患者：昔、たまに腰が痛くなっていましたが、こんなひどい痛みは初めてです。  
39. 医師：そのほかに、気になるご病気や治療中の病気は？  
40. 患者：特にはありません。  
41. 医師：今お薬や健康食品など飲んでいるものはありますか？  
42. 患者：近くの病院で出た痛み止めだけ飲んでいます。  
43. 医師：その痛み止めは効果を感じていますか？  
44. 患者：一時的に少し良くなることもありますが、あまり変わりません。  
45. 医師：体をひねったり重い物を持ち上げた時に痛みが悪くなることは？  
46. 患者：そういうこともありますね。  
47. 医師：MRIなどの検査を受けられたことはありますか？  
48. 患者：いいえ、まだそこまでは受けていません。  
49. 医師：わかりました。症状と検査から判断して、腰部脊柱管狭窄症という状態が考えられます。  
50. 患者：それは具体的にどういう病気なんですか？  
51. 医師：神経が腰の部分で圧迫されている状態で、歩いたり体を動かすと痛みやしびれが出やすくなる病気です。  
52. 患者：では、これからどうすればいいですか？  
53. 医師：治療は保存的な方法をまず試します。薬やリハビリで症状の改善を目指しましょう。  
54. 患者：そうなんですね。薬やリハビリで本当に良くなるんですか？  
55. 医師：多くの場合、保存療法で症状が改善します。気になることがあればすぐに教えてください。  
56. 患者：わかりました。よろしくお願いします。"
