"1. 医師：今日はどんな症状でお越しになりましたか？
2. 患者：手足の痛みと指や足の潰瘍が気になっていて。
3. 医師：いつ頃からそれを感じ始めましたか？
4. 患者：4ヶ月前くらいからですね。
5. 医師：手足の痛みはどの程度ひどいですか？
6. 患者：特に夜になると本当にひどくなります。
7. 医師：しびれもあるとおっしゃいましたが、それはどんな感じですか？
8. 患者：電気が走るような感じで、時々ビリビリします。
9. 医師：なるほど。他に体調が悪いところはありませんか？
10. 患者：それ以外は特にないです。
11. 医師：喫煙はされていますか？
12. 患者：はい、15年間、1日20本くらいです。
13. 医師：潰瘍は具体的にどこにありますか？
14. 患者：手指と足の指のところにあります。
15. 医師：その潰瘍はいつごろからでき始めましたか？
16. 患者：痛みを感じ始めて少し経った頃ですね。
17. 医師：潰瘍の大きさはどれくらいですか？
18. 患者：小さいですが、痛みが強いです。
19. 医師：指や足先が冷たく感じることはありますか？
20. 患者：はい、すごく冷たく感じます。
21. 医師：痛みや冷感が増える状況や時間帯はありますか？
22. 患者：夜が特にひどいですね。
23. 医師：日常生活にはどの程度影響していますか？
24. 患者：料理とか細かい作業は難しくなってます。
25. 医師：生活習慣でほかに変わったことはありませんか？
26. 患者：特に思い当たることはないですね。
27. 医師：何か他の病気で通院されていますか？
28. 患者：いいえ、それはないです。
29. 医師：家族に同じような症状がある方はいらっしゃいますか？
30. 患者：いないですね。
31. 医師：お仕事で手や足を酷使することはありますか？
32. 患者：事務職なので、それはないです。
33. 医師：体温がいつもより下がったりすることはありますか？
34. 患者：特にないと思います。
35. 医師：最近何か激しい運動をされましたか？
36. 患者：いいえ、運動はほとんどしてないです。
37. 医師：喫煙の影響について、ご自身で何か考えていますか？
38. 患者：体に良くないのは分かっているんです。
39. 医師：潰瘍の治療は今までどうされましたか？
40. 患者：痛み止めを飲んでましたが、治りません。
41. 医師：他に何かお困りのことはありますか？
42. 患者：それが一番の悩みです。
43. 医師：指や足先の色は変わったりしますか？
44. 患者：紫色っぽくなる時があります。
45. 医師：それはいつもですか、それとも特定の時に？
46. 患者：寒い時が多いですね。
47. 医師：症状に関して、不安や心配はありますか？
48. 患者：治るかどうか不安です。
49. 医師：これからいくつか検査を行いますが、大丈夫ですね？
50. 患者：はい、よろしくお願いします。"
