"1. 医師：今日はどのような症状でお越しですか？
2. 患者：発熱、のどの痛み、リンパ節の腫れがあります。
3. 医師：それはいつから始まりましたか？
4. 患者：約1週間前からです。
5. 医師：症状は徐々に悪化していますか？
6. 患者：はい、特にのどの痛みがひどくなって、食事が難しいです。
7. 医師：発熱はどのくらいの温度ですか？
8. 患者：37.5℃から39.0℃に上がりました。
9. 医師：咽頭の痛みは、どのくらいの強さですか？
10. 患者：かなり痛くて、飲み込むのがつらいです。
11. 医師：頸部にはどのような感じの腫れがありますか？
12. 患者：両側のリンパ節が大きくなって、押すと痛いです。
13. 医師：他に気になる症状はありますか？
14. 患者：全身がだるくて、疲れやすいです。
15. 医師：その疲労感はどのくらい続いていますか？
16. 患者：発症からずっと続いています。
17. 医師：咳や鼻水、くしゃみなどはありますか？
18. 患者：いいえ、咳はあまりありません。
19. 医師：食欲はどうですか？
20. 患者：あまり食べられていません。
21. 医師：最近、何か特別なことはありましたか？
22. 患者：特に、思い当たる節はありません。
23. 医師：他にお薬を飲まれていますか？
24. 患者：いいえ、何も飲んでいません。
25. 医師：家族にこの症状を心配されている方はいますか？
26. 患者家族：はい、母が心配して病院に連れて来てくれました。
27. 医師：お母さん、どのように心配されていますか？
28. 患者家族：特に食事が取れないことが気にかかっています。
29. 医師：それは心配ですね。最近、アレルギーのような症状はありましたか？
30. 患者：そういえば、特にアレルギーはないです。
31. 医師：最近旅行や新しい食べ物を食べることはありましたか？
32. 患者：いいえ、旅行はしていません。
33. 医師：発熱の間、寒気がすることはありましたか？
34. 患者：時々寒気があります。
35. 医師：お母さん、冷や汗や異常な発汗はありますか？
36. 患者家族：あまりないと思います。
37. 医師：胸の痛みや息苦しさは感じますか？
38. 患者：それはないです。
39. 医師：体重は最近変わりましたか？
40. 患者：少し減ったかもしれません。
41. 医師：これまでに同じような症状を経験したことはありますか？
42. 患者：いいえ、初めてです。
43. 医師：ご家族に同じような症状の人はいますか？
44. 患者家族：いません。
45. 医師：症状の改善や悪化はありますか？
46. 患者：最初は良くなりつつあったんですが、最近また悪化しました。
47. 医師：食事が取れないと体力も落ちてしまいますね。
48. 患者：ほんとにそうです。
49. 医師：もしよければ、さらに詳しい検査をしましょう。
50. 患者：はい、お願いします。
51. 医師：血液検査をして、感染症の可能性を調べましょう。
52. 患者：感染症ですか？何か心配ですか？
53. 医師：今は分かりませんが、いくつかのウイルスや細菌が考えられます。
54. 患者家族：大丈夫なんでしょうか？
55. 医師：結果が出るまでお待ちください。感染症が疑われますが、検査で詳しく分かります。
56. 患者：わかりました。
57. 医師：おそらく、EBウイルスの感染が確認される可能性がありますね。
58. 患者：EBウイルス？それはどんなものですか？
59. 医師：一般的には伝染性単核球症を引き起こすウイルスです。
60. 患者：それはどういう病気なんですか？
61. 医師：通常は軽い症状のことが多いですが、時には痛みや発熱が重くなることもあります。
62. 患者：そうなんですね。
63. 医師：この病気は自己限定性ですので、一般的には自然に回復します。
64. 患者：安心しました。"
