"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：喉がすごく痛くて、熱も出ています。  
3. 医師：そうですか。それはいつ頃からですか？  
4. 患者：2日前からです。初めはちょっと違和感があっただけなんですけど…。  
5. 医師：徐々に痛みがひどくなってきた感じですか？  
6. 患者：はい、どんどん痛くなってきて、今は飲み物も飲むのが辛いです。  
7. 医師：発熱はいつ頃から始まりましたか？  
8. 患者：昨日の朝です。体がすごくだるくて、夜には38.8度まで上がりました。  
9. 医師：それは大変でしたね。他に咳とか鼻水はありますか？  
10. 患者：いいえ、咳も鼻水もないです。  
11. 医師：お家の家族の中で同じような症状の人はいますか？  
12. 患者：いないです。みんな元気です。  
13. 医師：普段はお元気ですか？何か病気やアレルギーがありますか？  
14. 患者：はい、普段は元気で、特に病気もアレルギーもないです。  
15. 医師：分かりました。喉がただ痛いだけではなく、何か他に気になることはありますか？  
16. 患者：だるさがひどくて、ちょっとフラフラします。  
17. 医師：喉の痛みは常にありますか、それとも飲み込むときだけですか？  
18. 患者：飲み込むときが一番痛いです。普段も少し痛いですが。  
19. 医師：では、喉や首のあたりを少し診察させてくださいね。  
20. 患者：お願いします。  
21. 医師：喉が赤く腫れていますね。扁桃腺にも白っぽいものが見えます。首のリンパも少し腫れています。痛みますか？  
22. 患者：はい、押されると痛いです。  
23. 医師：飲み物や食べ物で痛みが悪化することはありますか？  
24. 患者：そうですね、水を飲むのも嫌になるくらい痛いです。  
25. 医師：普段、何かストレスや疲れを感じることはありますか？  
26. 患者：特にないです。学校はいつも楽しいです。  
27. 医師：最近、風邪をひいたり、熱を出したことはありましたか？  
28. 患者：いいえ、久しぶりにこんなに体調崩しました。  
29. 医師：寝るときに、いびきとか呼吸がしづらそうなことはありましたか？  
30. 患者：いびきはたぶんないと思います。呼吸もしにくくはないです。  
31. 医師：なるほど。お食事の際、舌や口の中に違和感はありませんでしたか？  
32. 患者：食べるのがそもそも辛いので、あまりよくわかりませんが特にないと思います。  
33. 医師：体の他のところに、例えば発疹や赤み、そのようなものは出ていませんか？  
34. 患者：いいえ、肌は普通だと思います。  
35. 医師：目が赤くなったり、涙が出やすいとか、目の症状はありませんか？  
36. 患者：目は全然なんともないです。  
37. 医師：最近、動物とたくさん触れ合ったり、変わった場所に行ったことはありますか？  
38. 患者：特にないです。家の犬は元気ですし…。  
39. 医師：ペットがいるのですね。でも犬は元気なんですね。  
40. 患者：はい、いつもどおり元気です。  
41. 医師：ここまで聞いたり診たりしましたが、追加で質問です。喉以外で体が重い感じがしたりしますか？  
42. 患者：やっぱり倦怠感がすごいです。動きたくない感じです。  
43. 医師：では、少し血液検査と喉の細菌検査をさせていただきますね。  
44. 患者：はい、お願いします。  
45. （検査実施後）  
46. 医師：検査の結果ですが、喉の細菌検査で「溶血性連鎖球菌」という菌が見つかりました。  
47. 患者：溶血性…？  
48. 医師：簡単に言うと、喉に細菌が感染して炎症を起こしている状態です。「溶連菌性咽頭炎」と診断します。  
49. 患者：それってどういう病気ですか？  
50. 医師：喉の痛みと発熱、扁桃腺の腫れが主な症状です。抗菌薬で治療を進めていきます。"
