"1. 医師：こんにちは。今日はどのようなことで来院されましたか？  
2. 患者：数日前から喉が痛くて、熱も出たんです。  
3. 医師：熱はどのくらいありましたか？  
4. 患者：最高39度まで上がりました。  
5. 医師：それは大変ですね。咽頭の痛みはどんな感じですか？  
6. 患者：とても痛くて、食べるのが難しいです。  
7. 医師：食事は全然摂れていませんか？  
8. 患者：はい、ほとんど食べれていません。  
9. 医師：他に症状はありますか？咳や鼻水は？  
10. 患者：いいえ、それは全然ないです。  
11. 医師：呼吸するのは大丈夫ですか？  
12. 患者：はい、呼吸困難ではないです。  
13. 医師：喉以外にも、体調に気になることはありますか？  
14. 患者：首のリンパが腫れていて、触ると痛いです。  
15. 医師：リンパ節の腫れはいつから感じていますか？  
16. 患者：最初から痛いです。  
17. 医師：ご家族はこの症状を見てどう言っていますか？  
18. 患者家族：最初は風邪かと思ったけど、熱が続いて心配していました。  
19. 医師：そうですか。それを聞いて安心しました。  
20. 医師：では、少し喉を見せてもらいたいので、口を開けてください。  
21. 患者：はい、わかりました。  
22. 医師：喉は赤く腫れていて、膿が見られますね。  
23. 患者：それが痛くて困ります。  
24. 医師：頸部のリンパ節も触診します。少し痛いかもしれませんが、我慢してくださいね。  
25. 患者：はい、大丈夫です。  
26. 医師：頸部のリンパ節も腫れていますね。特に前の方が腫れています。  
27. 患者：そうなんです。  
28. 医師：発熱は続いていますか？今は何度くらいですか？  
29. 患者：今は38.8度です。  
30. 医師：脈拍はどうですか？最近は落ち着いていますか？  
31. 患者：はい、あまり変わらないと思います。  
32. 医師：食欲は全くないですか？  
33. 患者：食べたいと思うけど、喉が痛くて無理です。  
34. 医師：痛みがあると食べるのが難しいですもんね。  
35. 医師：学校ではどんなことをしていますか？  
36. 患者：最近は疲れたから行ってないです。  
37. 医師：そうですか、しっかり休むことが必要ですね。  
38. 医師：少し咽頭の検査をします。何かアレルギーはありますか？  
39. 患者：特にアレルギーはないと思います。  
40. 医師：検査が終わったら、すぐに結果をお知らせしますね。  
41. 患者：はい、お願いします。  
42. 医師：他の家族はこの病気にかかったことはありますか？  
43. 患者家族：いいえ、私たちはみんな元気です。  
44. 医師：それは良いことですね。  
45. 医師：少し待っていてください。検査結果が出ました。  
46. 医師：結果は溶連菌が陽性でした。  
47. 患者：それは何ですか？  
48. 医師：溶連菌性咽頭炎という病気です。  
49. 患者：それは治るのですか？  
50. 医師：はい、治療すれば改善します。"
