"1. 医師：今日はどうされましたか？  
2. 患者：2週間前くらいから熱が出て、だるさが続いています。  
3. 医師：発熱はどのくらいの頻度で続いていましたか？  
4. 患者：ほぼ毎日です。微熱のこともあれば、ぐっと上がることもありました。  
5. 医師：倦怠感はいつから感じるようになりましたか？  
6. 患者：発熱とほぼ同じ頃です。最初は少し疲れ気味なくらいだったんですが、どんどんしんどくなりました。  
7. 医師：他に症状はありますか？  
8. 患者：食欲がなくてあまり食べられなくなって、気持ち悪くなることもあります。  
9. 医師：嘔吐はありましたか？  
10. 患者：はい、数回ありました。  
11. 医師：皮膚や目の色が変わったと感じたことはありますか？  
12. 患者：5日前くらいから目が黄色っぽくなった気がして、今日は家族に指摘されて来ました。  
13. 医師：ご家族から何か他に気づいたことを聞いていますか？  
14. 患者：家族も目の黄色さにびっくりして、それで急いで病院に行けって言われました。  
15. 医師：発症する前、特に体調を崩していたり、何か特別なことはしていましたか？  
16. 患者：特に思い当たらないです。  
17. 医師：旅行や外食など、普段と違う生活をしたことはありますか？  
18. 患者：いえ、普通の日常を送っていました。  
19. 医師：輸血や手術、歯科治療など、最近何か受けた治療はありましたか？  
20. 患者：ありません。  
21. 医師：お薬や健康食品を服用していますか？  
22. 患者：いいえ、何も飲んでいません。  
23. 医師：アルコールはどれくらいの頻度で飲まれますか？  
24. 患者：全然飲みません。  
25. 医師：家族に肝臓の病気をした方はいらっしゃいますか？  
26. 患者：いません。家族はみんな元気です。  
27. 医師：現在の生活でストレスを感じることや、極端な疲れを覚えることはありますか？  
28. 患者：特にはないです。仕事は普通にやっていますし、それで疲れることもありますけど、この症状とは関係ない気がします。  
29. 医師：肝臓の病気や関連する検査を受けたことはありますか？  
30. 患者：健康診断でも何も指摘されたことはありません。  
31. 医師：黄疸の症状とは別に、手足のかゆみやむくみは感じますか？  
32. 患者：かゆみは少しある気がしますが、むくみなどはないです。  
33. 医師：トイレの回数や尿の色に変化を感じたことはありますか？  
34. 患者：尿が少し濃い黄色です。トイレの回数は特に変わりません。  
35. 医師：便の色について変化を感じますか？  
36. 患者：それも思い出すと少し薄めの色になってると思います。  
37. 医師：この症状が出る前、体重の変化はありましたか？  
38. 患者：少し体重が減った気がします。食べられてないからだと思いますが。  
39. 医師：刺身や加熱が不十分な食べ物は食べましたか？  
40. 患者：いえ、食べていません。  
41. 医師：感染症が疑われる環境に身を置いたことはありますか？  
42. 患者：特に思い当たりません。  
43. 医師：最近、動物と接触しましたか？  
44. 患者：いえ、犬や猫も飼っていませんし、動物に触っていません。  
45. 医師：食べ物以外に触れる水に変わったことはありましたか？  
46. 患者：ありません、普段通りの生活をしています。  
47. 医師：先ほどの血液検査や腹部のエコーでは肝臓の腫れや炎症が見られました。これを総合的に考えると、急性肝炎、特にB型肝炎ウイルスによるものが疑われます。  
48. 患者：B型肝炎ですか？どうしてなったのかわかりません…。  
49. 医師：感染経路については今すぐにははっきりしませんが、治療で症状を改善することは可能です。  
50. 患者：わかりました。治療をお願いします。  "
