"1. 医師：本日はどうされましたか？
2. 患者：最近、ずっと疲れが取れなくて、立ちくらみもよく起こるんです。
3. 医師：それは大変ですね。他に何か気になる症状はありますか？
4. 患者：はい、爪がちょっと変形してきた気がします。
5. 医師：爪の変形はいつ頃から気づきましたか？
6. 患者：1カ月くらい前です。
7. 医師：日常生活に支障が出るようなことはありますか？
8. 患者：はい、特に疲れやすくなって、本当に困っています。
9. 医師：これまでに何か大きな病気をしたり、手術を受けたりしたことはありますか？
10. 患者：いいえ、特にないです。
11. 医師：日常生活の中で、食事や運動などに変わったことはありますか？
12. 患者：特に変わったことは思い当たりません。
13. 医師：家族に同様の症状を訴えた方はいらっしゃいますか？
14. 患者：特にそういう話は聞かないです。
15. 医師：お仕事や日常でストレスを感じることは多いですか？
16. 患者：少し忙しい時期はありますが、特に変わったことはありません。
17. 医師：体重の変化や食欲の変化はありましたか？
18. 患者：体重は変わってないですが、ちょっと食欲が落ちたかもしれません。
19. 医師：最近の食事内容や嗜好に変化はありますか？
20. 患者：あまり肉を食べていないかもです。
21. 医師：爪の変形の他に、肌の色の変化や髪の抜け方に変化はありませんか？
22. 患者：肌の色がちょっと白っぽくなった気がします。
23. 医師：かなりの倦怠感とのことですが、それはどういった活動の時に感じますか？
24. 患者：階段を上がる時とか、少し歩くだけで疲れます。
25. 医師：立ちくらみは、どういった状況で起こりますか？
26. 患者：急に立ち上がった時とか、ふっとした時に起こります。
27. 医師：立ちくらみが続く期間はどのくらいですか？
28. 患者：だいたい数秒で治まるんですが、頻繁に起こります。
29. 医師：寝る時や起きた時に異なる症状がありますか？
30. 患者：特にないですが、朝起きるときは重く感じます。
31. 医師：過去に鉄分不足を指摘されたことはありますか？
32. 患者：それは初耳です。
33. 医師：鉄分を含む食品を摂取する機会はありますか？
34. 患者：意識して摂ったことはないです。
35. 医師：生理の周期や出血量に変化はありましたか？
36. 患者：特に変わりないです。
37. 医師：ここ最近、風邪や他の病気でだるさを感じることはありましたか？
38. 患者：体調崩した覚えはありません。
39. 医師：新しいサプリメントや薬を利用するようになったことはありますか？
40. 患者：特にありません。
41. 医師：カフェインやアルコールの摂取量に変化はありますか？
42. 患者：特に変わってないです。
43. 医師：海外旅行や普段と違う環境に行くことが最近ありましたか？
44. 患者：ずっとこの近辺にいました。
45. 医師：睡眠の質や時間に不満はありますか？
46. 患者：最近、ちょっと眠りが浅いかもしれないです。
47. 医師：皮膚の乾燥や粘膜の乾燥は感じますか？
48. 患者：肌が少しカサつくぐらいです。
49. 医師：それでは、すぐにいくつか検査をしましょう。
50. 医師：検査の結果、鉄欠乏性貧血であることがわかりました。
(診断名を伝えたため終了します。)"
