"1. 医師：今日はどうされましたか？  
2. 患者：最近、体がだるくて立ちくらみがひどいんです。  
3. 医師：それはいつ頃から始まりましたか？  
4. 患者：もう数か月前からです。だんだん悪くなっている感じです。  
5. 医師：日常生活に支障は出ていますか？  
6. 患者：はい、階段を昇るだけでも息が切れて、フラフラします。  
7. 医師：他にどんな症状がありますか？  
8. 患者：爪が割れやすくなって、それに薄くなった気がします。  
9. 医師：爪の形が変わっているとか、特に気になることはありますか？  
10. 患者：はい、少し反り返るような感じで、変な形になってしまいました。  
11. 医師：食欲は落ちていませんか？  
12. 患者：それはないです。普通に食べているつもりなんですが。  
13. 医師：ところで、普段どんなものをよく食べますか？  
14. 患者：野菜や魚は食べますが、お肉はあんまり食べないですね。  
15. 医師：葉物野菜やレバーなどの鉄分が多い食品は食べていますか？  
16. 患者：葉ものはあまり好きじゃなくて、避け気味です。あとレバーも苦手です。  
17. 医師：以前に同じような症状で病院にかかったことはありますか？  
18. 患者：いいえ、こういう症状は初めてです。  
19. 医師：急に立ちくらみを起こしたり、倒れたりしたことはありましたか？  
20. 患者：倒れたことはないですが、立ち上がったりするとよくフラッとします。  
21. 医師：頭痛や胸の痛み、息苦しさなどはありますか？  
22. 患者：たまに息が切れる感じはありますけど、胸の痛みはないです。  
23. 医師：普段の運動習慣はどうですか？  
24. 患者：全然運動してないですし、体力も落ちた気がします。  
25. 医師：最近体重が減ったり、増えたりという変化はありましたか？  
26. 患者：体重は特に変わっていないと思います。  
27. 医師：月経の周期や量はどうですか？異常はありますか？  
28. 患者：ちょっと量が多い気がするんですが、いつものことだと思ってました。  
29. 医師：お疲れの原因になるようなストレスや不安を感じていますか？  
30. 患者：仕事が忙しいのはありますが、特に大きなストレスはないです。  
（続く）  
31. 医師：皮膚や唇が白っぽく感じたり、乾燥している感じはありますか？  
32. 患者：そういえば、唇がカサカサして白っぽくなることがあります。  
33. 医師：目の下や内側の色が変わったと感じたことは？  
34. 患者：最近、目がくぼんで白っぽい気がして、ちょっと気になってました。  
35. 医師：その状態が特に悪化する時間帯などはありますか？  
36. 患者：特に夜になると疲れがどっと出た感じがします。  
37. 医師：睡眠は十分にとれていますか？  
38. 患者：寝ても疲れが取れないことが多いですね。  
39. 医師：他に気になる症状や変化はありますか？  
40. 患者：舌も何だかツルツルしていて、おかしい気がします。  
41. 医師：その症状はいつ頃から気付きましたか？  
42. 患者：爪の変形に気付いた頃からだったと思います。  
43. 医師：便の色や性状に変わりはありませんか？  
44. 患者：特に変わったところはないと思います。  
45. 医師：便に血が混じるようなこともないですか？  
46. 患者：それは全然ありません。  
47. 医師：わかりました。それでは血液検査を行いましょう。  
48. 患者：わかりました。お願いします。  
49. 医師：検査結果から、鉄分が極端に不足していることが判明しました。  
50. 医師：鉄欠乏性貧血という診断です。鉄分を補う治療を始めましょう。  "
