"1. 医師：今日はどうされましたか？
2. 患者：最近運動をしたら、すごく疲れた感じがして…
3. 医師：疲れたのですね。運動はいつどれくらいしましたか？
4. 患者：今日は炎天下で2時間ほどサッカーをしていました。
5. 医師：その後、どのような症状がありましたか？
6. 患者：すごく倦怠感があって、汗もたくさんかきました。
7. 医師：めまいはありましたか？
8. 患者：はい、めまいも感じます。
9. 医師：他に何か気になる症状はありますか？
10. 患者：特にそれぐらいです。
11. 医師：運動をしているときはどのような状況でしたか？
12. 患者：ものすごく暑くて、日差しが強かったです。
13. 医師：水分は時々とっていましたか？
14. 患者：いいえ、あまり飲めていなかったと思います。
15. 医師：いつからその症状が出てきたのですか？
16. 患者：運動が終わってから2時間くらいです。
17. 医師：その後、家族の方が連れてきてくれたのですね？
18. 患者：はい、家族が心配して連れてきてくれました。
19. 医師：その間、意識ははっきりしていましたか？
20. 患者：ちょっとぼんやりしてました。
21. 医師：血圧や脈拍はどうでしたか？
22. 患者：分からないです。
23. 医師：では、体温は測りましたか？
24. 患者：いいえ、測ってないです。
25. 医師：家族の方に症状について何か聞きたいことはありますか？
26. 患者家族：運動の後、ずっと元気がなかったです。
27. 医師：最近他の病気にかかったことはありますか？
28. 患者：いいえ、特にはないです。
29. 医師：いつも運動をする際は水分補給していますか？
30. 患者：たまに忘れることもあります。
31. 医師：塩分補給は気にしていますか？
32. 患者：あまり気にしたことはありません。
33. 医師：スポーツや体力作りをする際には大事ですよ。
34. 患者：そうですね、今後は注意します。
35. 医師：周りに体調を気づかってくれる人はいますか？
36. 患者：家族は毎回気にしてくれます。
37. 医師：お父さんかお母さんはどうですか？
38. 患者家族：私たちはいつも気にかけています。
39. 医師：ありがとうございます。では、身体の状態を見せてもらいますね。
40. 患者：はい、お願いします。
41. 医師：体温は38.8℃ですね。脈拍はかなり早いですね。
42. 患者：そうなんですか、ちょっと心配です。
43. 医師：呼吸も速いですね。意識ははっきりしない感じもしますか？
44. 患者：はい、さっきもぼんやりしていました。
45. 医師：全身の筋力の低下は感じますか？
46. 患者：特に足がだるいです。
47. 医師：それに加えて、尿の色はどうでしたか？
48. 患者：よく分からないですが、あまり出てないと思います。
49. 医師：わかりました。血液検査が必要ですね。
50. 医師：結果が出た後、診断をお伝えしますので、少々お待ちください。"
