"1. 医師：こんにちは。本日はどのような症状でご来院されましたか？  
2. 患者：3日前から風邪みたいな感じがしてたんですが、熱が出て、胸がすごく痛くなってきたんです。  
3. 医師：胸の痛みはどちらに感じますか？また、どのような痛みですか？  
4. 患者：前胸部から左の胸にかけて広がる感じで、鋭い痛みです。  
5. 医師：痛みが軽くなる姿勢や、逆に強くなる姿勢などはありますか？  
6. 患者：前屈すると少し楽になるんですが、仰向けになるとすごく痛みが強くなるんです。  
7. 医師：痛みが出るタイミングは特にありますか？  
8. 患者：特にタイミングはなく、ずっと続いている感じです。  
9. 医師：熱はどのくらいの高さが続いていますか？  
10. 患者：38.5℃くらいが出ています。  
11. 医師：他に咳や息苦しさはありますか？  
12. 患者：咳は乾いた咳がずっと出ていますけど、息苦しさはないです。  
13. 医師：以前に同じような症状を経験したことはありますか？  
14. 患者：いいえ、初めてです。  
15. 医師：これまで大きな病気や手術をしたことはありますか？  
16. 患者：特に何もありません。健康診断でも異常ありませんでした。  
17. 医師：現在服用している薬やサプリメントはありますか？  
18. 患者：何も飲んでいません。  
19. 医師：薬や食べ物にアレルギーはありますか？  
20. 患者：ありません。  
21. 医師：最近、何かストレスの多い出来事や体を酷使するようなことはありましたか？  
22. 患者：特に思い当たることはありませんけど、少し風邪をひいた感じがありました。  
23. 医師：そうですか。ではご家族や周囲で同じように風邪をひいている人はいますか？  
24. 患者：家族にも周りにもいません。  
25. 医師：胸の痛みに関連して何か吐き気や嘔吐、胸やけのような感じはありましたか？  
26. 患者：いいえ、そういうのはありません。  
27. 医師：以前に心臓に関する検査や病気を指摘されたことはありますか？  
28. 患者：ありません。心臓は特に問題ないと思います。  
29. 医師：今の胸の痛み、何かきっかけがあった気がしますか？例えば運動や深呼吸など。  
30. 患者：特にきっかけは思い出せません。ただ、痛みが増してきましたね。  
31. 医師：趣味や運動など、最近何か新しいことを始めたりしましたか？  
32. 患者：特に新しいことはしていませんし、運動も普段と同じくらいです。  
33. 医師：胸や背中を動かしたり、押したりすると痛みが変わりますか？  
34. 患者：押したり動かしても特に変わりません。  
35. 医師：普段の生活で問題となるような症状や生活の影響はありますか？  
36. 患者：生活にはそこまで影響はありませんが、この痛みはかなり気になりますね。  
37. 医師：胸の痛みが一番つらく感じるとき、何をしているときですか？  
38. 患者：仰向けに寝ているときですね。そのときが一番痛いです。  
39. 医師：発熱や痛みのいずれも、何か鎮痛薬などを使うと軽減しますか？  
40. 患者：昨晩市販の解熱薬を飲みましたが、あまり効果が感じられなかったです。  
41. 医師：咳はどのようなタイミングで出ますか？咳をすると胸の痛みが強くなりますか？  
42. 患者：咳は自然に出る感じですけど、胸の痛みは変わりません。  
43. 医師：呼吸を深くしたりすると、痛みは感じますか？  
44. 患者：深呼吸すると少しだけ痛みが強くなる気がします。  
45. 医師：胸の痛みがどうしても仰臥位で強くなるという特徴が気になります。聞いていて心膜の炎症が疑われますね。  
46. 患者：心膜？それって心臓の病気ですか？  
47. 医師：心膜というのは心臓を包んでいる膜です。炎症を起こすとあなたのような症状が現れることがあります。それを心膜炎と言います。  
48. 患者：そうなんですか…。それでこの痛みが出ているんですね。  
49. 医師：はい。心膜炎の中でも急性心膜炎と呼ばれる状態の可能性が高いです。  
50. 患者：そうなんですね。治療すれば良くなりますか？  
診断：acute pericarditis（急性心膜炎）  "
