"1. 医師：本日はいかがされましたか？  
2. 患者：最近、ものを飲み込むと痛みがあって、食べた後に咳が出たり吐いてしまうことが多いんです。  
3. 医師：それは辛いですね。いつ頃からその症状が始まりましたか？  
4. 患者：もう1年くらい前からです。でも最近ひどくなってきたので受診しました。  
5. 医師：症状がひどくなってきたのはいつ頃からですか？  
6. 患者：ここ数か月くらいですね。特に硬いものを食べたときが一番つらいです。  
7. 医師：硬い食品が特につらいんですね。具体的にどのような痛みや違和感がありますか？  
8. 患者：なんて言うか、喉の奥あたりが詰まっている感じで、痛みも感じます。  
9. 医師：なるほど。その痛みや違和感はずっと続いているのですか？それとも時々ですか？  
10. 患者：食事中とか食事の後に特に感じます。夜になると咳が出て眠れないこともあります。  
11. 医師：夜の咳は毎晩出るのですか？  
12. 患者：いえ、毎晩ではないですが、週に何度かは苦しくて起きます。  
13. 医師：咳が出るときに他に吐き気や嘔吐はありますか？  
14. 患者：はい、あります。それで食べたものを吐いてしまうこともあります。  
15. 医師：具体的にどのような食べ物で吐くことが多いですか？  
16. 患者：特に硬いものとか乾いたものを食べた後ですね。  
17. 医師：喉や胸の辺りで詰まるような感じはありますか？  
18. 患者：はい、胸のあたりがつっかえた感じになります。  
19. 医師：最近体重が減ったり、疲労感が強くなったりしていませんか？  
20. 患者：そうですね、最近2〜3キロくらい体重が減った気がします。疲れも感じます。  
21. 医師：これまでに似たような症状が出たことはありますか？  
22. 患者：いえ、この1年が初めてです。  
23. 医師：幼少期から今までで、アレルギーや湿疹などの治療を受けたことはありますか？  
24. 患者：アトピー性皮膚炎があって、子供の頃から治療してきました。  
25. 医師：現在もアトピー性皮膚炎の症状がありますか？  
26. 患者：少しありますが、そこまでひどくはないです。  
27. 医師：アトピー以外にアレルギー性鼻炎や喘息のような症状は経験されていますか？  
28. 患者：いえ、特にはありません。  
29. 医師：職場や家庭で特定の物質に反応するような経験はありますか？  
30. 患者：そういうのは特にはないですね。  
31. 医師：それでは、過去に大きな病気や手術を受けたことはありますか？  
32. 患者：いいえ、大きな病気や手術はないです。  
33. 医師：お酒やタバコは嗜まれますか？  
34. 患者：タバコは吸いませんが、お酒は時々飲みます。  
35. 医師：喫煙されないのは良いことですね。最後に、他に何か症状で気になることはありますか？  
36. 患者：自分ではこの飲み込みの痛みが一番気になります。  
37. 医師：わかりました。これから咽頭や食道の状態を調べるために少し詳しい検査をしていきますね。  
38. 患者：はい、お願いします。  
39. 医師：内視鏡検査の結果ですが、食道の中下部に特徴的な所見がありまして、組織を調べたところ好酸球が増えていることが分かりました。  
40. 患者：そうなんですね。それは何の病気ですか？  
41. 医師：好酸球性食道炎という病気の可能性があります。これは免疫の関与が原因で、アレルギー体質のある方に多く見られます。  
42. 患者：そうなんですか。アトピーと関係があるんでしょうか？  
43. 医師：アトピーなどのアレルギー体質は一因となることがありますね。  
44. 患者：それは治るものですか？  
45. 医師：治療は可能です。まず食事の見直しや薬を使った治療で症状を和らげることを目指します。  
46. 患者：食事の見直しというと、どんなものを制限するんですか？  
47. 医師：アレルギーの可能性がある食品を制限したりすることがあります。また、薬での治療も重要です。  
48. 患者：それで症状が治まるなら試してみたいです。  
49. 医師：そうですね。経口ステロイドを含む薬を使用しながら、経過をしっかり見ていきましょう。  
50. 患者：わかりました。治療をお願いします。"
