"1. 医師：今日はどうされましたか？  
2. 患者：2日前から胸が痛むんです。じっとしている時でも痛くなって…。  
3. 医師：具体的にどこが痛みますか？  
4. 患者：胸の真ん中です。何か重たいもので押しつぶされるような感じです。  
5. 医師：その痛みはいつ始まりましたか？  
6. 患者：一番初めは2日前の朝、突然痛くなったんです。  
7. 医師：その痛みはどのくらい続きましたか？  
8. 患者：約10分くらいでした。その後、一旦治まりました。  
9. 医師：その後も胸痛は繰り返していますか？  
10. 患者：はい。特に階段を上ったり速く歩いたりすると、また同じような痛みがありました。  
11. 医師：労作時以外、例えば横になっている時や眠っている時にも痛みますか？  
12. 患者：はい、昨夜遅くに、特に何もしていないのに胸が苦しくなりました。  
13. 医師：それに加えて、他に何か症状はありましたか？  
14. 患者：冷や汗が出て、ちょっと気分も悪くなりました。  
15. 医師：その痛みは深夜以降どうなりましたか？  
16. 患者：ますます頻繁になって、耐えきれなくなって来院しました。  
17. 医師：胸痛の強さはどうですか？何段階かに例えるとしたら？  
18. 患者：10が最もひどいなら、8くらいですね。  
19. 医師：痛みがどこか他の場所に広がることはありましたか？  
20. 患者：いいえ、胸の真ん中付近だけです。  
21. 医師：普段、高血圧や糖尿病などの病気をお持ちですか？  
22. 患者：特にそういう診断を受けたことはありません。  
23. 医師：以前にも似たような胸痛を感じたことがありますか？  
24. 患者：いいえ、このような痛みは初めてです。  
25. 医師：ご家族に心臓や血液に関わる病気の方はいらっしゃいますか？  
26. 患者：父が心臓の病気で亡くなったと聞いています。  
27. 医師：運動は普段されますか？また、お酒やタバコの習慣は？  
28. 患者：あまり運動しませんが、タバコもお酒も嗜む程度です。  
29. 医師：嗜む程度とは、具体的にどのくらいですか？  
30. 患者：タバコは1日10本くらいで、お酒は週に2～3回、ビール2缶程度です。  
31. 医師：職場ではストレスを感じることはありますか？  
32. 患者：はい、最近仕事が忙しくて少し疲れていました。  
33. 医師：痛みと一緒に息苦しさはありましたか？  
34. 患者：息苦しくはなかったです。  
35. 医師：胸痛が起きる前に何か特定の動作や出来事がありましたか？  
36. 患者：特に何も。でも、深夜の胸の痛みは起きている間に突然でした。  
37. 医師：胸以外、例えば肩や腕、顎、首などに痛みが広がったりしましたか？  
38. 患者：それはなかったです。  
39. 医師：胸痛の間、動悸や不整脈を感じましたか？  
40. 患者：少し心臓がドキドキしている気がしました。  
41. 医師：先ほど冷や汗のお話がありましたが、吐き気や嘔吐はありませんでしたか？  
42. 患者：吐き気は少しだけありましたが、嘔吐はなかったです。  
43. 医師：痛みが和らぐ動作や方法はありましたか？  
44. 患者：座って休んでいると少し良くなる気がしました。  
45. 医師：今まで病院で血液検査や心電図を受けたことはありますか？  
46. 患者：以前健康診断で受けましたが、その時は異常はないと言われました。  
47. 医師：現在の痛みを10のスケールで評価すると、どれくらいですか？  
48. 患者：8くらいです。最初はもっとひどかったです。  
49. 医師：血圧を測定すると少し高めで、心電図ではわずかな異常が見られます。  
50. 患者：そうですか…。心臓に何か問題があるのでしょうか？  
51. 医師：胸の痛みや心電図の変化、血液検査の結果などから不安定狭心症が考えられます。  "
