"1. 医師：本日はどのような症状でご来院されましたか？  
2. 患者：歩くと息切れがひどくて、めまいや胸が苦しくなるんです。  
3. 医師：それはいつ頃から感じていますか？  
4. 患者：約1年前くらいから少しずつ始まったと思います。  
5. 医師：最近になって症状が変わったり、悪化したりしましたか？  
6. 患者：はい、3か月くらい前から階段を上るのも辛くなりました。  
7. 医師：症状はいつも同じ状況で起こりますか？  
8. 患者：主に動いたときに起こりますね、静かにしているときは問題ありません。  
9. 医師：めまいについてもう少し詳しく教えてください。どんな感じですか？  
10. 患者：一瞬だけクラクラする感じで、立ちくらみです。でも気を失ったことはありません。  
11. 医師：胸の圧迫感はどんな風に感じますか？痛みとは違いますか？  
12. 患者：痛みというよりは胸が押しつぶされるような感じです。  
13. 医師：胸の圧迫感は何をすると出ますか、またどれくらい続きますか？  
14. 患者：歩いたりすると出ますが、休めば数分で治まります。  
15. 医師：過去に何か病気にかかったことはありますか？  
16. 患者：高血圧と高脂血症があります。薬を飲んでいますが種類はわかりません。  
17. 医師：その薬を飲み始めたのはいつ頃ですか？  
18. 患者：5年くらい前だったと思います。  
19. 医師：それ以外に今まで大きな病気や手術を受けたことはありますか？  
20. 患者：いえ、それ以外は特にありません。  
21. 医師：ご家族に似たような症状や大きな病気の方はいらっしゃいますか？  
22. 患者：父が心臓が悪かったと聞いていますが、詳しくはわかりません。  
23. 医師：日常生活に支障が出ている場面はありますか？  
24. 患者：階段の昇り降りが特に辛いですね。それと遠出の散歩も億劫になりました。  
25. 医師：他に気になる症状はありませんか？例えば息苦しさ以外の症状です。  
26. 患者：特にはありませんが、最近疲れやすい気がします。  
27. 医師：咳や痰、または発熱はありますか？  
28. 患者：いいえ、そういうのは全くないです。  
29. 医師：足のむくみや冷たさを感じることはありますか？  
30. 患者：むくみは感じたことがありませんし、冷たさも特にないです。  
31. 医師：眠っている時に息苦しさを感じたり、夜中に目を覚ましたりしますか？  
32. 患者：夜は寝つきが良い方ですし、そんな症状もないです。  
33. 医師：最近体重に変化はありましたか？  
34. 患者：特に変わりはないです。体重は安定していると思います。  
35. 医師：頸の辺りに違和感を感じたり、脈が遅くなっていると感じることはありますか？  
36. 患者：そんな風に感じたことはありません。  
37. 医師：1年前から症状が出始めたとおっしゃいましたが、その前に何かきっかけとなることはありましたか？  
38. 患者：思い当たることはないですね。特に変わったこともしていないと思います。  
39. 医師：飲んでいる薬で体調が変わったとかはありませんか？  
40. 患者：いいえ、薬を飲むことで悪化したことはないです。  
41. 医師：頭痛や視力の変化、耳鳴りなどはありますか？  
42. 患者：頭痛も視力の変化もないです。耳鳴りも特にありません。  
43. 医師：食べ物の好みが変わったり、食欲が落ちたりしたことはありますか？  
44. 患者：食欲は普段通りで変わりません。  
45. 医師：汗をたくさんかくようになったり、手が震えたりすることは？  
46. 患者：特にそういうこともないです。  
47. 医師：最近、何かストレスを感じることや大きな生活の変化はありましたか？  
48. 患者：特に思いつきません。普段通りの生活です。  
49. 医師：息切れについてですが、最近ペースが速い歩行ができなくなったと感じますか？  
50. 患者：はい、少し速く歩くとすぐ息苦しくなります。  
（省略のない問診を行った結果、Vignetteに基づき診断を進めている流れです。）  
"
