"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：ここ2週間くらい前から体調が悪くて…。  
3. 医師：どのような症状がありましたか？  
4. 患者：最初は喉が痛くて、少し熱っぽかったんです。風邪薬を飲んでみたんですが、良くならなくて。  
5. 医師：その後、他に気になる症状はありましたか？  
6. 患者：全身がだるくて、そのうち胸が痛くなってきたんです。  
7. 医師：胸痛はどんな感じの痛みでしたか？たとえば、鋭い痛みとか、締め付けられるような感じとか。  
8. 患者：鋭い痛みでした。ずっと続いている感じで、休んでもあまり良くなりませんでした。  
9. 医師：胸痛はいつ頃から始まりましたか？  
10. 患者：1週間くらい前ですね。最初は気にしてなかったんですが…。  
11. 医師：痛みは運動したりすると悪化しますか？それとも安静時でも痛みますか？  
12. 患者：どっちもですね。動いても痛いし、じっとしてても痛いです。  
13. 医師：胸痛の場所はどこですか？胸全体ですか、それとも特定の場所が痛む感じですか？  
14. 患者：胸の真ん中あたりが痛いです。  
15. 医師：胸の痛み以外に、たとえば息苦しさや動悸などはありませんでしたか？  
16. 患者：動悸はちょっと感じましたが、息苦しさはなかったです。  
17. 医師：発熱は続いていますか？  
18. 患者：微熱が続いています。  
19. 医師：熱はどのくらいの高さでしたか？測ったことはありますか？  
20. 患者：昨日測ったら37.8度くらいでした。  
21. 医師：ほかに冷や汗が出たり、吐き気があったりしましたか？  
22. 患者：冷や汗はないですが、だるさがすごくて気持ち悪くはなります。  
23. 医師：過去に何か大きな病気をしたことはありますか？  
24. 患者：特にはないですね。健康には自信があったんですけど…。  
25. 医師：家族の病歴で心臓の病気などを患った方はいらっしゃいますか？  
26. 患者：父が心筋梗塞で入院していたことがあります。  
27. 医師：最近、旅行や激しい運動をしたりしましたか？  
28. 患者：特に普段と変わったことはしていないです。  
29. 医師：そうですか。この胸の痛みは動いたときの方が強いですか？  
30. 患者：はい、動いた後のほうが痛みが強くなる感じもします。  
31. 医師：痛みは深呼吸や体の姿勢を変えると変わりますか？  
32. 患者：いいえ、姿勢を変えても特に変わらないです。  
33. 医師：なるほど、痛みが和らぐときはどういうときですか？  
34. 患者：あんまり和らぐことはないですね…。常に感じている感じです。  
35. 医師：喉の痛みや咳はまだありますか？  
36. 患者：喉の痛みは少しおさまったけど、咳はたまに出ます。  
37. 医師：市販薬を飲んでから症状が悪化したように感じましたか？  
38. 患者：飲んでも全然良くならないし、むしろだるさが増した気がします。  
39. 医師：飲んだお薬は覚えていますか？解熱剤とか風邪薬でしたか？  
40. 患者：普通の市販の風邪薬です。名前は覚えてないです。  
41. 医師：そうでしたか。めまいを感じたり、汗をいっぱいかいたりすることはないですか？  
42. 患者：特にめまいはなかったけど、少し冷や汗みたいなのがありました。  
43. 医師：手足が冷たく感じることはありますか？  
44. 患者：時々冷たさを感じます。  
45. 医師：冷たさが続くとか、指の色が変わったりしたことはありませんか？  
46. 患者：指の色が変わることはなかったですが、冷えている感じはあります。  
47. 医師：わかりました。少しお話を整理しますね。風邪の後、だるさと胸痛が始まり、熱が続いている状態ですね？  
48. 患者：そうです。その通りです。  
49. 医師：これまでの症状や検査の結果から考えると、急性心筋炎の可能性が高いと思われます。  
50. 患者：急性心筋炎…ですか？それは大丈夫なんでしょうか？  

診断を伝えたため、会話を終了します。"
