"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近、全身がだるくて、食欲もなく、体重もだいぶ落ちてしまいました。  
3. 医師：具体的にはどのくらい体重が減りましたか？  
4. 患者：1か月くらいで5kgくらい減りました。  
5. 医師：それ以外にどんな症状がありますか？  
6. 患者：ここ1週間、特に朝起きるときにすごく疲れていて、腹痛とめまいもあります。  
7. 医師：腹痛はどの部分が痛みますか？鋭い痛みですか？鈍い痛みですか？  
8. 患者：おへその周りあたりで、鈍い痛みという感じです。  
9. 医師：めまいはどんな時に感じますか？立ち上がるときに悪化することはありますか？  
10. 患者：はい、立ち上がるときによくクラっとする感じがあります。  
11. 医師：意識が飛びそうな感じになることもありますか？  
12. 患者：ええ、意識が遠のくような感じがたまにあります。  
13. 医師：最近、何か病気にかかったことはありますか？または治療中の病気はありますか？  
14. 患者：特に何もないです。  
15. 医師：薬やサプリメントを使っていますか？  
16. 患者：いいえ、何も使っていません。  
17. 医師：アレルギーなどはありますか？  
18. 患者：それもないです。  
19. 医師：体調が悪くなり始めたのはいつ頃からですか？  
20. 患者：2か月くらい前からだるさが強くなってきました。  
21. 医師：そのころ生活に大きな変化やストレスはありましたか？  
22. 患者：特にないですが、仕事が忙しいとは思います。  
23. 医師：倦怠感は一日中続いていますか、それとも特定の時間帯に強いですか？  
24. 患者：朝起きたときが一番ひどいですね。その後も元気になれません。  
25. 医師：寒気や発熱はありますか？  
26. 患者：ないです。  
27. 医師：お腹の痛みは何か食べ物や行動で悪化しますか？  
28. 患者：特にそういうきっかけはないようです。  
29. 医師：排尿や排便に問題はありますか？下痢や便秘などはどうですか？  
30. 患者：下痢とか便秘ではないですが、最近トイレの回数が増えた気がします。  
31. 医師：皮膚の色が暗くなってきたことに気づきましたか？  
32. 患者：確かに日焼けしていないのに肌が黒く見える気がします。  
33. 医師：特にどの部分が目立ちますか？  
34. 患者：関節のあたりや口の中が濃くなっているように感じます。  
35. 医師：気を失ったことはありますか？  
36. 患者：いいえ、そこまではないですけど意識がぼんやりすることはあります。  
37. 医師：血圧を測ったことはありますか？  
38. 患者：いいえ、ここではじめて測りました。  
39. 医師：家族に同じような症状の方はいらっしゃいますか？  
40. 患者：いないと思います。  
41. 医師：最近、感染症や旅行の予定はありましたか？  
42. 患者：いいえ、特にそういうことはないです。  
43. 医師：月経の周期に変化はありますか？  
44. 患者：そういえば最近はあまり順調ではありません。  
45. 医師：特別なダイエットや運動の予定をしていましたか？  
46. 患者：それもないです。  
47. 医師：普段の食生活はどのようなものですか？  
48. 患者：最近はあまり食べられてなくて、簡単なものばかり食べています。  
49. 医師：おそらく、副腎に関係する病気の可能性があるかもしれません。追加で血液検査と画像検査を行う必要があります。  
50. 患者：副腎ってなんですか？  
51. 医師：副腎は体を調整するホルモンを作る器官です。今回は「アジソン病」という病気が疑われます。  
以上で今回は終了します。"
