"1. 医師：本日はどうされましたか？  
2. 患者：最近、いろいろと体に変化があって、不妊も心配で相談に来ました。  
3. 医師：どんな変化を感じていますか？  
4. 患者：ここ一年くらい月経が不規則になってきたんです。  
5. 医師：月経はどのくらいの間隔で来ていますか？  
6. 患者：30日から45日くらいバラバラです。  
7. 医師：不規則な月経が始まったのはいつ頃ですか？  
8. 患者：1年前くらいです。  
9. 医師：他にはどんなことが気になりますか？  
10. 患者：顔や背中にニキビが増えてきて、体重も増えた気がします。  
11. 医師：体重はどのくらい増えましたか？  
12. 患者：1年で5キロくらい増えました。  
13. 医師：最近の食事や生活習慣に変化はありましたか？  
14. 患者：特にはないです。食事も普通だと思います。  
15. 医師：妊娠を希望されているということですが、どのくらいの期間妊活をされていましたか？  
16. 患者：半年以上は試してきたんですが、まだ妊娠できていません。  
17. 医師：妊娠のために特別な治療や薬を使ったことはありますか？  
18. 患者：いえ、何もしていません。  
19. 医師：過去に月経について何か問題があったことはありますか？  
20. 患者：特になかったです。  
21. 医師：ご家族に不妊や月経不順の方はいらっしゃいますか？  
22. 患者：いえ、家族は特に問題ないです。  
23. 医師：ニキビはいつ頃から増えてきましたか？  
24. 患者：ここ半年くらいで目立つようになりました。  
25. 医師：体の他の部分でも気になる症状はありますか？  
26. 患者：最近、腕や足の毛が濃くなった気がします。  
27. 医師：月経が不規則になった際、他に何か症状はありましたか？  
28. 患者：特には感じませんでした。  
29. 医師：睡眠やストレスに変化はありましたか？  
30. 患者：仕事が忙しい時期もありますが、特に問題はないです。  
31. 医師：これまで病気にかかったことや手術歴はありますか？  
32. 患者：特にありません。健康だったと思います。  
33. 医師：現在服用中のお薬はありますか？  
34. 患者：いいえ、何も飲んでいません。  
35. 医師：アレルギーはありますか？  
36. 患者：特にありません。  
37. 医師：生活習慣について少し教えてください。普段どのくらい運動をされていますか？  
38. 患者：あまり運動はしていません。仕事がデスクワークなので動く機会が少ないです。  
39. 医師：お仕事は忙しいですか？ストレスが溜まっていますか？  
40. 患者：忙しい時期もありますが、それほどストレスは感じていません。  
41. 医師：最近食べたいと思う物が変わったり、食欲が増えたりしていますか？  
42. 患者：甘いものが少し増えたかもしれません。でも大きな変化はないです。  
43. 医師：睡眠時間や質に変化はありますか？  
44. 患者：変わらず7時間くらい眠れていると思います。  
45. 医師：血縁者の中に糖尿病やホルモン系の病気をお持ちの方はいますか？  
46. 患者：いえ、とくに聞いたことがありません。  
47. 医師：そのニキビの治療をこれまでに試されたことはありますか？  
48. 患者：スキンケアは気をつけていますが、特別な治療はしていません。  
49. 医師：ありがとうございました。少し検査をした結果、考えられるのは多囊胞性卵巣症候群という状態です。  
50. 患者：多囊胞性卵巣症候群ですか？どういう状況なんですか？"
