"1. 医師：こんにちは。今日はどんなご用件でしょうか？  
2. 患者：2日前から悪寒がして、全身がだるい感じがあります。  
3. 医師：他にどんな症状がありますか？  
4. 患者：昨日から熱が上がって、排尿する時にすごく痛いんです。腰も鈍く痛くて。  
5. 医師：熱はどのくらい出ていますか？  
6. 患者：家で測ったら一番高い時で38.9度ありました。  
7. 医師：排尿時の痛みについてもう少し詳しく教えていただけますか？  
8. 患者：尿が出始める時にすごく焼けるような痛みがあります。それに、トイレに行っても完全に出し切れない感じです。  
9. 医師：尿の色や匂いで変化はありましたか？  
10. 患者：ちょっと濁っている気がします。匂いも少しきついような感じがしますね。  
11. 医師：腰の痛みはどんな感じですか？  
12. 患者：鈍い痛みで右側が特に痛いです。時々、ズキンズキンと感じます。  
13. 医師：痛みは体を動かしたりすることで悪化しますか？  
14. 患者：動くと少し悪化する気がしますが、じっとしていても痛いです。  
15. 医師：悪寒の他に、寒気や発汗が多くなることはありますか？  
16. 患者：昨日の夜はすごく寒気がして、布団被っても震えてました。  
17. 医師：これまでに同じような症状を経験したことはありますか？  
18. 患者：いえ、特にこういう排尿の痛みとかは初めてです。  
19. 医師：糖尿病があると伺っていますが、治療状況について教えていただけますか？  
20. 患者：はい、毎日薬を飲んでいます。普段は特に問題ないです。  
21. 医師：これまでに腎臓や尿路系の病気を指摘されたことはありますか？  
22. 患者：いいえ、そういう病気はありませんでした。  
23. 医師：食欲や体重に変化はありますか？  
24. 患者：あまり食欲はありませんが、体重は特に変わっていないと思います。  
25. 医師：便通に異常はありませんか？  
26. 患者：便については特に問題ないです。  
27. 医師：普段、お水やお茶などの水分はどれくらい取っていますか？  
28. 患者：1日に1リットルかそれ以下だと思います。  
29. 医師：お仕事や生活習慣でストレスや疲れがたまることはありますか？  
30. 患者：最近仕事が忙しくて、睡眠不足が続いています。  
31. 医師：感染症を疑われる状況に心当たりはありますか？  
32. 患者：いえ、特に思い当たることはありません。  
33. 医師：先日に海や風呂などで外部からの水に体が触れることは？  
34. 患者：ないですね、特に外で泳ぐとかもしませんでした。  
35. 医師：夜間、頻繁にトイレに行くことはありますか？  
36. 患者：今は痛みのせいか頻繁に起きますが、それがなければ普段は一度くらいです。  
37. 医師：糖尿病があるということで、ご家族に同じような病歴がある人はいらっしゃいますか？  
38. 患者：はい、父も糖尿病を持っています。  
39. 医師：喉の渇きのような感覚は普段からありますか？  
40. 患者：糖尿病のせいかもしれませんが、時々ありますね。  
41. 医師：体のむくみや足の腫れを感じたことはありますか？  
42. 患者：いや、それは特に気づいていないです。  
43. 医師：性交渉やその他で何か変わったことは最近ありましたか？  
44. 患者：特にないです。  
45. 医師：この症状が出てから、冷たいものや熱いものが取れなくなったりしていませんか？  
46. 患者：いえ、それは特にないです。  
47. 医師：このような症状が急に出てくることはよくあります。話を総合すると、腎盂腎炎という感染症が疑われます。  
48. 患者：腎盂腎炎ですか。そうなんですね。  
49. 医師：はい。症状や尿検査、画像の所見から考えられます。早めに治療を進めますね。  
50. 患者：ありがとうございます。早く治したいです。"
