"1. 医師：本日はどんな症状でいらっしゃいましたか？  
2. 患者：2週間くらい前から咳が続いてまして、夜になると特にひどくなります。  
3. 医師：咳は乾いた感じですか？それとも痰が絡む感じですか？  
4. 患者：痰はほとんど出ません。乾いた咳ですね。  
5. 医師：そのほかに熱が出たことはありますか？  
6. 患者：少し熱っぽい感じがしますが、高い熱ではない気がします。  
7. 医師：具体的にどのくらいの熱が出ていますか？  
8. 患者：測ると37度ちょっとくらいですね。  
9. 医師：呼吸が苦しいと感じることはありますか？  
10. 患者：咳がひどくなると、ちょっと息がしにくい感じがします。  
11. 医師：他にだるさや食欲の低下などはありませんか？  
12. 患者：体がだるくて、食欲もあまりなくて…。  
13. 医師：これまで他に似たような症状を経験したことはありましたか？  
14. 患者：いえ、こんなに長引くのは初めてです。  
15. 医師：過去にアレルギーや喘息など、呼吸器に関する病気をしたことはありますか？  
16. 患者：アレルギー性鼻炎くらいで、大きな病気はないです。  
17. 医師：現在、何か定期的に飲んでいる薬はありますか？  
18. 患者：特に薬は飲んでいません。  
19. 医師：喫煙はされていますか？  
20. 患者：いえ、タバコは吸いません。  
21. 医師：最近、海外旅行や風邪を引いている方と接する機会はありましたか？  
22. 患者：ありません。家族も特に風邪っぽい人はいないです。  
23. 医師：どのお仕事をされていて、体力的に負担のかかることはありますか？  
24. 患者：IT関係でデスクワークが多いです。体力的にはそこまでではないと思います。  
25. 医師：咳が夜間にひどいとのことですが、眠れないほどですか？  
26. 患者：そうですね、咳で何度も目が覚めてしまいます。  
27. 医師：最近、運動や階段の上り降りで苦しいと感じることはありますか？  
28. 患者：階段を上ると少し息切れすることがあります。  
29. 医師：食欲不振についてですが、どのくらい食べられていますか？  
30. 患者：一日の食事量が半分くらいになっています。  
31. 医師：痩せてきた実感はありますか？  
32. 患者：はい、少し体重が減ったように感じます。  
33. 医師：寒気や悪寒はありましたか？  
34. 患者：週の初め頃に少し寒気がしましたが、今はないです。  
35. 医師：のどの痛みや違和感はありますか？  
36. 患者：若干のどが赤いと言われたことがありますが、特に痛くはないです。  
37. 医師：咳をする際、胸が痛むことはありますか？  
38. 患者：胸の中央辺りがちょっと痛いときがあります。  
39. 医師：その痛みは深呼吸や運動で悪化しますか？  
40. 患者：咳をするとき以外は痛まないです。  
41. 医師：過去に肺炎や気管支炎になったことはありますか？  
42. 患者：特にないです。  
43. 医師：最近、動物と触れ合ったり、新しい環境に行ったりはしましたか？  
44. 患者：いえ、普段と変わらない生活をしています。  
45. 医師：咳が始まる前に何か特別な出来事がありましたか？  
46. 患者：特に心当たりはないです。  
47. 医師：胸の音を聴診させてもらいましたが、異常な音が聞こえました。検査を行います。  
48. 患者：わかりました。お願いします。  
49. 医師：検査結果によると、マイコプラズマ肺炎を患っていることがわかりました。  
50. 患者：そうなんですね…。どうすれば良いでしょうか？
（診断を伝えたので終了。）"
