"1. 医師：今日はどうされましたか？  
2. 患者：最近、トイレが近くて困ってまして。特に夜がひどいんです。  
3. 医師：どのくらい前からその症状がありますか？  
4. 患者：半年くらい前からですね。最初はそこまで気にならなかったんですが、徐々にひどくなってきました。  
5. 医師：夜はどのくらいの頻度で起きてトイレに行きますか？  
6. 患者：3回、多いときは4回ですね。  
7. 医師：日中はどのくらいの頻度でトイレに行きますか？  
8. 患者：1時間おきくらいですかね。仕事中とかも落ち着かなくて…。  
9. 医師：排尿の際に何か気になることはありますか？  
10. 患者：勢いが弱い感じがして、出始めるまでちょっと時間がかかるんです。  
11. 医師：排尿後に残っている感じはありますか？  
12. 患者：そうなんです。全部出切った感じがしないんですよね。  
13. 医師：痛みや変わった色の尿が出ることはありますか？  
14. 患者：いえ、特にそういうのはないです。  
15. 医師：トイレ以外で何か体調の変化はありましたか？  
16. 患者：いや、それ以外は特に困っていることはないです。  
17. 医師：過去に何か大きな病気や手術をされたことはありますか？  
18. 患者：特にないですが、高血圧で薬を飲んでいます。  
19. 医師：高血圧のお薬はどのくらい飲まれていますか？  
20. 患者：もう10年くらいですかね。毎日きちんと飲んでます。  
21. 医師：血圧は安定していますか？  
22. 患者：最近計った時は大丈夫でした。  
23. 医師：ご家族に同じような症状の方はいらっしゃいますか？  
24. 患者：父が昔、何か前立腺のことで手術を受けたことがあった気がします。  
25. 医師：そうですか。ちなみにお食事や飲み物で最近変わったことはありますか？  
26. 患者：いや、特に変わらず普通にしてますね。  
27. 医師：コーヒーやアルコールはどうでしょう？  
28. 患者：お酒は週に2〜3回程度です。コーヒーは毎朝飲んでますけど、昔からです。  
29. 医師：夜に特にトイレが多いとのことですが、水分摂取を控えたりはしていますか？  
30. 患者：寝る前には控えるよう気をつけてますが、それでも起きてしまうんです。  
31. 医師：日々のお仕事や生活でストレスを感じることはありますか？  
32. 患者：まあ、特にこれといったストレスはないですね。仕事も退職して今はのんびりしてます。  
33. 医師：症状が徐々にひどくなっているとのことですが、日常生活で不便に感じていることは何かありますか？  
34. 患者：そうですね、外出してもすぐトイレを探さないといけないので移動が不便ですね。  
35. 医師：ちなみに何かご自身で治そうとしたり、試したことはありますか？  
36. 患者：特にないですね。まあ、もっと水分を控えようと思ったくらいです。  
37. 医師：以前に同じような症状で病院を受診されたことはありますか？  
38. 患者：いえ、今回は初めてですね。  
39. 医師：ありがとうございます。ここまでお話を伺った限りでは、膀胱や前立腺に関連した問題が疑われます。少し診察させていただいてもよろしいでしょうか？  
40. 患者：はい、お願いします。  
41. 医師：診察したところで、腹部に膀胱が膨らんでいる感じがあります。ただ痛みも腫瘍も感じません。  
42. 患者：そうなんですね。何か悪いことはなさそうですか？  
43. 医師：直腸指診でも前立腺が大きく触れるのですが、痛みや異常な硬さは見られません。追加の検査をさせてください。  
44. 患者：はい、何かわかればいいんですが。  
45. 医師：血液検査では、前立腺に関連する腫瘍マーカーPSAが正常範囲内でした。尿検査でも異常ありません。  
46. 患者：それなら少し安心しました。  
47. 医師：超音波検査で前立腺が少し大きいことが確認され、尿が少し残ってしまう傾向があります。また尿流を測る検査では流れが弱いことがわかりました。  
48. 患者：やはり前立腺の問題なんでしょうか？  
49. 医師：お話と検査から、良性前立腺肥大、つまりBPHの可能性が高いと考えられます。  
50. 患者：良性ということは命に関わることはないんですね？  
51. 医師：その通りです。命に関わることはなく、薬で症状を和らげることができます。  "
