"1. 医師：こんにちは。本日はどのような症状でお越しになりましたか？  
2. 患者：最近、夜中にトイレに起きる回数が増えてきたんです。それがずっと続いていて困っています。  
3. 医師：夜間に何回くらいトイレに行かれるんですか？  
4. 患者：最近は3回くらい起きることが多いです。  
5. 医師：それ以外に気になる症状はありますか？  
6. 患者：排尿を始めるのに時間がかかるんです。それと出し終わった後も、なんだか出きっていない感覚があります。  
7. 医師：その症状はいつ頃から気になり始めましたか？  
8. 患者：頻尿は数年前からですけど、排尿がスムーズにいかなくなったのは1年くらい前からでしょうか。  
9. 医師：最近になって症状が悪化してきましたか？  
10. 患者：はい、1週間くらい前から特にひどくなって、普通の生活に支障を感じるようになりました。  
11. 医師：尿の出方はどうでしょうか？勢いが弱くなった、途切れやすいなどはありますか？  
12. 患者：そうですね、途中で何回も途切れることが多いですし、勢いも前より弱い気がします。  
13. 医師：痛みはありませんか？排尿するときに痛みを感じたり、血が混じったりは？  
14. 患者：いいえ、痛みや血は全くありません。  
15. 医師：尿の臭いや色が変わったことは？  
16. 患者：特に変わった感じはないです。  
17. 医師：排尿が終わった後に、まだ尿が残っている感じがしますか？  
18. 患者：はい、いつも残尿感があります。軽く下腹部を押すとまだ尿が出ることもあります。  
19. 医師：日中のトイレの回数はどれくらいですか？  
20. 患者：日中は7回くらいですね。それも多い方ですか？  
21. 医師：一般的にはやや多いですが、飲水量によっても変わります。喉がすごく乾く、ということはないですか？  
22. 患者：いいえ、特にありません。でも尿が近いと感じます。  
23. 医師：1回の尿量はどうでしょう？とても少ない感じですか？それとも普通に出るような感じですか？  
24. 患者：普通だと思いますが、やっぱり途中で途切れることが気になります。  
25. 医師：便通の方に問題はありませんか？便秘や下痢などは。  
26. 患者：特に問題ありません。  
27. 医師：最近体重が急に減るなどの変化はありますか？  
28. 患者：体重は特に変わりません。  
29. 医師：これまでに大きな病気をされたことはありますか？  
30. 患者：糖尿病があります。でも、どんな治療をしていたかよく覚えていなくて。最近は通院もしていません。  
31. 医師：糖尿病はいつ頃診断を受けられましたか？  
32. 患者：10年前くらいだったと思いますが、それから特に症状がなくて放置していました。  
33. 医師：糖尿病の診断時にインスリンや薬を処方されたことはありましたか？  
34. 患者：たぶん飲み薬はもらったと思いますが、服用を続けずにやめてしまいました。  
35. 医師：ご家族やご親戚に糖尿病や泌尿器系の病気を患った方はいらっしゃいますか？  
36. 患者：糖尿病の人は家系に多いですが、泌尿器の病気は聞いたことがありません。  
37. 医師：最近、仕事や生活の中でストレスを感じることはありますか？  
38. 患者：特にストレスはないですが、この排尿の問題が不便で困っています。  
39. 医師：体調が良くないときに熱が出たり、倦怠感を感じたりすることはありますか？  
40. 患者：はい、特に熱やだるさはないです。  
41. 医師：アルコールや喫煙の習慣はありますか？  
42. 患者：お酒は時々少しだけ、タバコは吸いません。  
43. 医師：よく水分を摂るようにしていますか？  
44. 患者：喉が乾いたときに飲むくらいで、特に意識していないです。  
45. 医師：下腹部が痛い、または腫れた感じがあることはありませんか？  
46. 患者：痛みや腫れは感じたことはないです。  
47. 医師：排尿の際に勢いが弱く、また残尿感も感じるとのことですが、これらの症状の変化はここ数週間で急によくなったり悪くなったりしていますか？  
48. 患者：特に急激な変化はないですが、最近少しずつ悪化していると感じます。  
49. 医師：お話を伺ったところ、いくつかの可能性があります。おそらく良性の前立腺肥大が原因の一つかもしれません。他にも糖尿病の影響や他の泌尿器系の病気の可能性もあります。  
50. 医師：さらにお体の診察と検査を行い、結果から正確な診断をお伝えしますが、現在の所見からは良性前立腺肥大症が最も可能性が高いように思います。  "
