"1. 医師：こんにちは。今日はどのような症状でいらっしゃいましたか？  
2. 患者：1か月くらい前から咳が続いていて、特に夜や朝にひどいです。  
3. 医師：その咳ですが、痰は出ますか？乾いた咳ですか？  
4. 患者：痰はほとんど出なくて、乾いた咳です。  
5. 医師：咳はどんな時に特にひどくなりますか？  
6. 患者：冷たい空気を吸ったときと、運動したときにひどくなります。  
7. 医師：運動時には他にどんな症状がありますか？  
8. 患者：息切れがして、ちょっと苦しくなります。  
9. 医師：息切れはどのくらいの運動で起こりますか？例を教えてください。  
10. 患者：少し早歩きしたり、階段を上ったりするだけで息が切れます。  
11. 医師：息切れがひどいと感じる時間帯はありますか？  
12. 患者：朝や夜に特に感じます。  
13. 医師：その際、ほかに音が鳴るとか、胸に違和感はありますか？  
14. 患者：ゼーゼーとかヒューヒューという音がします。  
15. 医師：喘鳴ですね。生活に支障が出るくらいですか？  
16. 患者：そうですね。眠りも浅くなってきて、日中もつらいです。  
17. 医師：1か月前の感冒様症状ですが、どんな感じでしたか？  
18. 患者：普通の風邪みたいでした。喉が少しかゆくて、鼻水も出ました。  
19. 医師：その症状はどのくらい続きましたか？  
20. 患者：1週間ほどで少し良くなりましたが、その後から咳が続いています。  
21. 医師：これまでに喘息とか、呼吸器の病気で治療を受けたことはありますか？  
22. 患者：子どもの頃に喘息と言われたことがありますが、大人になってからは治療していません。  
23. 医師：アレルギーはありますか？花粉症や鼻炎など。  
24. 患者：アレルギー性鼻炎があります。  
25. 医師：アレルギー性鼻炎はどのように治療されていますか？  
26. 患者：市販の鼻炎薬を時々飲むくらいで、病院には行っていません。  
27. 医師：家族で喘息やアレルギーを持っている方はいますか？  
28. 患者：兄弟が花粉症で、母もアレルギーがあると言っていました。  
29. 医師：喫煙歴はありますか？現在吸っていますか？  
30. 患者：いいえ、タバコは吸ったことがありません。  
31. 医師：勤務先や住環境で、空気が悪いとか刺激物があるような環境ではありませんか？  
32. 患者：普通のオフィス勤務ですし、特にそういう環境はありません。  
33. 医師：ペットやカーペット、古い家具など、アレルギーを引き起こしそうなものはありませんか？  
34. 患者：ペットはいませんし、部屋もそんなに古いわけではありません。  
35. 医師：咳が続く以外で、体重減少や発熱などの症状はありますか？  
36. 患者：特にそういった症状はありません。  
37. 医師：ここ数日で急に症状が悪化したことはありますか？  
38. 患者：急な悪化はありませんが、寒い日は特にしんどいです。  
39. 医師：以前に同じような症状で医師に診てもらったことはありますか？  
40. 患者：大学生の頃に数回咳がひどくなった経験がありますが、それ以来は特にありません。  
41. 医師：その時はどのように治療されましたか？  
42. 患者：風邪だと言われて薬をもらったと思います。  
43. 医師：今までにステロイド薬や吸入器を使用したことはありますか？  
44. 患者：記憶にないので、多分ないと思います。  
45. 医師：では、呼吸の音を聞かせてもらいますね。深呼吸してください。  
46. 医師：左右に高調な音が聞こえますね。一度肺機能の検査をしましょう。  
47. 医師：検査結果から、気管の炎症と狭窄が見られました。また、アレルギー性の要素もありそうです。  
48. 患者：そうなんですか。何が原因なんでしょうか？  
49. 医師：あなたの症状と検査結果から、気管支喘息が原因である可能性が高いです。  
50. 患者：やっぱり喘息なんですね…。どうすればいいんですか？"
