"1. 医師：今日はどうされましたか？  
2. 患者家族：最近、父の物忘れがひどくなってきたんです。  
3. 医師：それはいつ頃から始まりましたか？  
4. 患者家族：3か月前ぐらいからです。最初はちょっとした物忘れくらいでした。  
5. 医師：例えば、どういった物忘れがありましたか？  
6. 患者家族：電話をかける相手を忘れたり、よく行く店の場所を思い出せなかったりしました。  
7. 医師：その後、症状はどう進行しましたか？  
8. 患者家族：だんだんと家族の顔がわからなくなったり、話しかけてもあまり反応がなくなったんです。  
9. 医師：なるほど。それ以外に変わった様子はありませんか？  
10. 患者家族：はい、2か月前からは筋肉がピクピク動いたり、歩き方がすごく不安定になりました。  
11. 医師：筋肉のけいれんや歩行の問題以外にはどうですか？  
12. 患者家族：特にないですけど、最近は日常の簡単なこともできなくなってきました。  
13. 医師：日常生活で具体的に何が難しいですか？  
14. 患者家族：服を着替えるとか、トイレに行くだけでも手伝いが必要になってきました。  
15. 医師：それは困りますよね。他に健康上の心配は何かありますか？  
16. 患者：うーん、自分では覚えていないことが増えてきて、怖いです。  
17. 医師：記憶以外に、何か体で感じる異常はありませんか？  
18. 患者：最近よく体が震えると言われますが、自分では少し感じる程度です。  
19. 医師：震えやけいれんがどんな時に出ますか？  
20. 患者家族：何かしようとする時よりも、休んでいるときに出ている気がします。  
21. 医師：なるほど、夜にはどうですか？眠れてますか？  
22. 患者家族：なんだか落ち着かず、寝つきが悪いみたいです。  
23. 医師：そうなんですね。転倒やけがをしたことは？  
24. 患者家族：この前、ふらついて転びそうになりました。そのとき焦りました。  
25. 医師：そうですか。どのくらいの頻度でふらつきますか？  
26. 患者家族：毎日のようにありますね。散歩もやめてもらいました。  
27. 医師：そうすると、日中の活動量も少ないですか？  
28. 患者家族：はい、ほとんど部屋の中にいるだけです。  
29. 医師：食事の摂り方や飲み物はどうですか？  
30. 患者家族：食べる量は減ってきてますね。飲むのもうまく飲み込めないことがあります。  
31. 医師：飲み込むときにむせることはありますか？  
32. 患者家族：たまにむせることがあります。特に固いものとか熱いものを飲んだときです。  
33. 医師：苦しいとか痛いとか言うことはありませんか？  
34. 患者家族：何も言いませんが、表情で不安そうな時がありますね。  
35. 医師：最近、体重の減少はみられましたか？  
36. 患者家族：少し痩せたように見えます。  
37. 医師：わかりました。視力や聴力に問題はありますか？  
38. 患者家族：特にそういう話はないですが、目がうまく焦点を合わせられない感じはします。  
39. 医師：なるほど。これまでに脳の検査や治療を受けたことはありますか？  
40. 患者家族：いいえ、特にありません。  
41. 医師：ご家族に同じような症状があった方はいらっしゃいますか？  
42. 患者家族：いえ、親族でもこういった症状があった人はいません。  
43. 医師：日常的に薬を飲んでいるものはありますか？  
44. 患者家族：いいえ、薬は特に飲んでいません。  
45. 医師：これまで大きな病気やけがをしたことは？  
46. 患者：特にはないですね。健康には自信があったのに。  
47. 医師：そうでしたか。生活習慣やお酒、タバコの使用についてはどうですか？  
48. 患者家族：お酒は時々飲みますが、タバコは昔から吸ってません。  
49. 医師：わかりました。お話を聞く限り、神経系の検査が必要そうですね。  
50. 医師：結果をふまえて、恐らくクールツフェルト・ヤコブ病というものだと考えられます。  "
