"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：1週間くらい前から足がなんだかしびれるような感じがして、だんだん力が入りづらくなっています。  
3. 医師：足のしびれや力が入りづらいのは、両方ですか？それとも片方だけですか？  
4. 患者：両方の足です。なんだか同じように感じます。  
5. 医師：しびれはどのあたりにありますか？具体的に教えてください。  
6. 患者：ふとももより下、特に膝から下がしびれる感じが強いです。  
7. 医師：しびれの性質はどうですか？ピリピリする感じですか？それともぼんやりと感覚が鈍い感じですか？  
8. 患者：ピリピリする感じですね。触られると少し鈍い感じもします。  
9. 医師：筋力低下についてですが、具体的にはどのように感じますか？  
10. 患者：なんというか…力を入れても足が上がらない感じです。階段を昇るのが特に辛いです。  
11. 医師：歩行の際にはどのような症状がありますか？転びやすいなどありましたか？  
12. 患者：昨日から平らなところを歩くのも辛くて、足がふらついてしまう感じです。  
13. 医師：しびれや筋力低下は時々治ったり、悪化したりしていますか？それとも一貫して悪化していますか？  
14. 患者：一貫して悪くなっている感じです。  
15. 医師：他には手や腕に同じような症状が出ていますか？  
16. 患者：手や腕は全然問題ありません。  
17. 医師：顔や舌に麻痺した感じや、飲み込みにくさはありませんか？  
18. 患者：そういうのは特にないですね。  
19. 医師：少し戻りますが、こういった症状が出る前に何か体調の変化がありましたか？  
20. 患者：はい、2週間前に風邪のような感じで、喉が痛くて少し熱が出ました。  
21. 医師：その症状はどれくらい続きましたか？  
22. 患者：2日くらいで治りました。  
23. 医師：その後、何事もなく元気に過ごしていましたか？  
24. 患者：はい、何も問題なかったんですが、1週間前から足のしびれを感じ始めました。  
25. 医師：家族に同じような症状の方はいらっしゃいますか？  
26. 患者：いいえ、家族はみんな元気です。  
27. 医師：これまでに大きな病気やけが、あるいは入院した経験はありますか？  
28. 患者：いえ、特にないです。  
29. 医師：普段、お仕事などで長時間座りっぱなしになることはありますか？  
30. 患者：はい、デスクワークなので座りっぱなしが多いです。でもそれが関係しているのかな…  
31. 医師：運動や何か身体に負担がかかることを最近始めたりしましたか？  
32. 患者：特に思い当たることはないです。  
33. 医師：ちなみに、最近気持ち的にストレスを感じることがありましたか？  
34. 患者：多少仕事で忙しい時期ですが、いつも通りの範囲です。  
35. 医師：歩行の際に転んだり、何かケガをしたことはありますか？  
36. 患者：転びそうになることはありましたが、ケガはしていないです。  
37. 医師：お風呂に入るときに、温度を感じにくいことがありますか？  
38. 患者：そういったことは特にないですね。  
39. 医師：足に冷たさや痛みを感じることはありますか？  
40. 患者：冷たさは感じませんが、しびれる感じが続いています。  
41. 医師：お腹や背中にしびれる感じが広がることはありますか？  
42. 患者：いいえ、ないですね。足だけです。  
43. 医師：ここ数日で息苦しく感じたり、胸がしびれるようなことはありませんか？  
44. 患者：それは全くありません。  
45. 医師：トイレに行きづらい、あるいは失禁するようなことはありませんか？  
46. 患者：その辺りは全然問題ないです。  
47. 医師：最近、新薬やサプリメントなどを試したことはありますか？  
48. 患者：いえ、普段飲んでいる薬もありません。  
49. 医師：症状を総合的に鑑みて、検査結果などを踏まえた上で診断を行いたいと思います。  
50. 患者：よろしくお願いします。  
（診察・検査内容について徐々に練り合わせた後）  
51. 医師：検査結果やお話から、ギランバレー症候群という病気の可能性が高いと判断しました。  
"
