"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？  
2. 患者：1週間くらい前から両手足がしびれていて、力が入らないです。  
3. 医師：他に気になることはありますか？  
4. 患者：最近、呼吸がしづらくなってきて、顔の動きもおかしい気がします。  
5. 医師：顔の動きについて、どういう感じですか？  
6. 患者：表情をつくるのが難しくなったり、口を動かしづらいんです。  
7. 医師：わかりました。いつごろからこうなりましたか？  
8. 患者：最初は2週間くらい前に風邪を引いて、その後治ったんですけど…。しびれが出たのは1週間前くらいですね。  
9. 医師：その風邪の症状は、咳や鼻水、熱などがあったのでしょうか？  
10. 患者：はい、喉が痛くて少し熱もありました。でも自然に治りました。  
11. 医師：その後、手足のしびれが始まって、今は呼吸もしづらくなったと。  
12. 患者：はい、そうです。歩くのももうできないです。  
13. 医師：呼吸のしづらさについて具体的に教えていただけますか？  
14. 患者：深呼吸しようとすると苦しくて、自然に息をするのも重い感じがします。  
15. 医師：咳き込むことや息切れ感はありますか？  
16. 患者：咳き込むことはあまりないですが、息切れは感じます。  
17. 医師：胸や背中に痛みはありますか？  
18. 患者：いいえ、痛みはないです。  
19. 医師：両手足のしびれについて、特徴的なことを教えてください。どんな感じですか？  
20. 患者：針で刺すようなチクチクした感じが広がって、そこに力が入らなくなります。  
21. 医師：手の指先や足の裏など、特定の場所で強い感じがありますか？  
22. 患者：全部というわけではないですが、指先や足のほうが強い感じです。  
23. 医師：しびれや脱力感は上下左右で差がありますか？  
24. 患者：左右ともに同じような感じで脱力してきています。  
25. 医師：今の脱力感ですが、時間がたつほど強くなる感じですか？  
26. 患者：そうです、だんだんひどくなってきて、歩けなくなりました。  
27. 医師：顔の症状について、もう一つ詳しく聞きますが、眼の周りや食べ物を飲み込むのに問題はありませんか？  
28. 患者：飲み込むのが少し難しい感じがします。でも眼は普通だと思います。  
29. 医師：先ほど動かしづらいと言っていましたが、具体的に何が特に困りますか？  
30. 患者：笑おうとすると顔がうまく動かないし、食べ物を噛む時も少しぎこちない気がします。  
31. 医師：なるほど、かんだ後に噛んだ食べ物がうまく飲み込めないときがありますか？  
32. 患者：はい、そういうことがあります。  
33. 医師：手足以外に体の他の部分で力が入りづらい感じはありますか？  
34. 患者：胸のあたりも重い感じがあって動かしづらい気がします。  
35. 医師：これまで、転倒したことやけがをしたことはありますか？  
36. 患者：転んだりはしていません。  
37. 医師：過去に神経や筋肉の病気を診断されたことはありますか？  
38. 患者：いいえ、ありません。  
39. 医師：生活環境の中で毒物や薬品に触れたりしたことはありませんか？  
40. 患者：特に思い当たりません。  
41. 医師：家族で似たような症状を持っている方はいらっしゃいますか？  
42. 患者：いいえ、他の家族には症状はありません。  
43. 医師：食べ物や飲み物で普段と違うものを摂取した覚えはありますか？  
44. 患者：特にはないと思います。  
45. 医師：以前と比べて、体重が急に減ったり増えたりしていませんか？  
46. 患者：いいえ、体重はそんなに変わっていません。  
47. 医師：以前このような脱力やしびれを経験したことはありますか？  
48. 患者：いいえ、こんな症状は初めてです。  
49. 医師：わかりました。症状や検査結果をもとに検討したところ、ギラン・バレー症候群という神経の病気の可能性が高いと思われます。  
50. 患者：それはどんな病気なんですか？"
