"1. 医師：今日はどうされましたか？  
2. 患者：ここ数日、筋力がどんどん落ちていくんです。特に足が力が入りません。  
3. 医師：いつ頃からこの症状を感じ始めましたか？  
4. 患者：3日前くらいからですね。その前はそんなことなかったんです。  
5. 医師：脚以外に力が入りにくいところはありますか？  
6. 患者：両手も少し弱い感じがしますけど、足ほどじゃないですね。  
7. 医師：どの程度日常生活に支障がありますか？  
8. 患者：階段を登るのがすごく辛くて、立ち上がるのも一苦労です。  
9. 医師：わかりました。この筋力低下の前に、何か風邪や病気にかかった記憶はありますか？  
10. 患者：1週間くらい前に下痢をしてました。お腹の調子が悪くて。  
11. 医師：その下痢はどのくらい続きましたか？  
12. 患者：1〜2日くらいです。その後は何ともなかったです。  
13. 医師：他に最近、新しい薬を飲んだり、食べ物や環境で変わったことはありますか？  
14. 患者：いえ、特に変わったことはなかったですね。  
15. 医師：筋力低下以外に、しびれや感覚が鈍いと感じることはありますか？  
16. 患者：そうですね、両手両足の端の方が変な感じがしてます。  
17. 医師：変な感じというのはどういう感覚ですか？  
18. 患者：なんかピリピリしたり、触った感覚が鈍いような気がします。  
19. 医師：なるほど。力が入らない以外に、たとえば息苦しさや飲み込みにくさは感じていますか？  
20. 患者：いえ、そういうのは全くないです。  
21. 医師：体のどこかが痛いと感じることはありますか？  
22. 患者：特に痛みはないですね。  
23. 医師：ここ最近、心臓がドキドキしたりとか、脈が速く感じることはありますか？  
24. 患者：そう言えば、急に心臓がバクバクすることが何回かありました。  
25. 医師：その時、特に何かきっかけがありましたか？  
26. 患者：いえ、動いていない時でも急にそうなる感じでした。  
27. 医師：しびれや感覚の異常、筋力低下が進むペースはどんな感じですか？  
28. 患者：最初は軽かったんですけど、ここ2日くらいで急にひどくなってきてます。  
29. 医師：寝ている間に症状が悪化したりすることはありましたか？  
30. 患者：はい、朝起きたときに特に足が弱くなった気がしました。  
31. 医師：最近、発熱や他の全身症状はありましたか？  
32. 患者：熱はなかったですけど、下痢以外の体調不良も特にありませんでした。  
33. 医師：咳や鼻水、のどの痛みなどありましたか？  
34. 患者：それも特になかったですね。  
35. 医師：過去に同じような筋力低下を経験したことはありますか？  
36. 患者：いえ、こんなのは初めてです。  
37. 医師：家族の方に同じ症状を経験した人はいませんか？  
38. 患者：家族も特にそんな話は聞いたことがないです。  
39. 医師：普段の生活ではどんなお仕事や運動をされてますか？  
40. 患者：デスクワークが多いです。運動は最近あまりしていません。  
41. 医師：飲酒や喫煙の習慣はありますか？  
42. 患者：タバコは吸わないですが、酒は週末に少し飲む程度です。  
43. 医師：普段の食生活や水分摂取について教えてください。  
44. 患者：普通に三食は食べてます。特に偏りはないと思います。  
45. 医師：体重に変化があったりしますか？  
46. 患者：特に変化はないですね。  
47. 医師：しびれや筋力低下が進行しているようですので、神経の検査をいくつかしましょう。  
48. 患者：はい、お願いします。  
（検査後）  
49. 医師：検査結果から、ギランバレー症候群という病気が疑われます。  
50. 患者：ギランバレー症候群って何ですか？  "
