
"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：家族が無理やり連れてきたんですけど、特に問題はないと思います。  
3. 家族：1年半くらい前から、本人がやる気をなくすようになって気になっていました。  
4. 医師：どのような状況でそれを感じましたか？  
5. 家族：仕事への意欲がまったくなくなり、人付き合いも避けるようになりました。  
6. 医師：過去にはそのようなことはありませんでしたか？  
7. 家族：いいえ、もともと社交的で働き者だったんです。  
8. 医師：他に最近の変化はありますか？  
9. 家族：適切でない言動をすることがあります。例えば突然怒ったり、公共の場で少しおかしな行動をしたりします。  
10. 医師：それらの変化に関して、ご本人はどう感じていますか？  
11. 家族：特に気にはしていないようです。聞いても「別に」といった感じで。  
12. 医師：ご本人、やる気の低下や人付き合いについてどう思いますか？  
13. 患者：別になんとも思いません。前と変わらず普通に暮らしているつもりです。  
14. 医師：記憶力や注意力に関して、ご自身で何か気づくことはありますか？  
15. 患者：気になることは特にないですね。大丈夫だと思います。  
16. 医師：ささいなことを忘れることは増えていませんか？  
17. 家族：少し増えた気がします。買い物で同じものを何度も買ってきたりします。  
18. 医師：そのようなことは以前はありましたか？  
19. 家族：いえ、ここ1年くらいのことです。  
20. 医師：患者さん、ご自身で変化を感じないとのことですが、他に気になる症状はありますか？  
21. 患者：特にないですね。家族が過剰反応しているんだと思います。  
22. 医師：表情の変化について何か言われることはありますか？  
23. 家族：表情が乏しいと友人にも言われたようです。  
24. 医師：運動や体の不調についてはどうですか？  
25. 患者：体の調子はいいと思います。特に問題ありません。  
26. 医師：睡眠や食事に変化はありますか？  
27. 家族：どちらもほぼ変わらずです。ただ以前より食事の好みが偏るようになりました。  
28. 医師：全般的に健康には問題がなさそうですね。既往症や薬の服用は何かありますか？  
29. 患者：特にないです。健康診断も問題なかったんです。  
30. 医師：社会的な場面での行動について、他に具体例がありますか？  
31. 家族：うーん、この間も会話の途中で急に騒がれたことがありました。ちょっと驚きましたけど。  
32. 医師：社会的な場面での行動が変わってきたことについて、本人はどう思われていますか？  
33. 家族：全然気にしていません。「これが自分だ」といった感じです。  
34. 医師：記憶力に関しては特定の種類の出来事だけを忘れるとか、偏りがありますか？  
35. 家族：特に偏りがあるわけではありませんが、その場ですぐ忘れることが多い印象です。  
36. 医師：そのうちのいくつかは仕事に関係していますか？  
37. 家族：はい、仕事関連の段取りを忘れることが増え、職場の人からも指摘されています。  
38. 医師：ご自宅でおかしな行動は増えていますか？  
39. 家族：細かいですが、夜遅くに急に歌い出すことが増えました。以前はそんなことしなかったんですが。  
40. 医師：患者さん、ご自身のその行動に違和感はありませんか？  
41. 患者：特におかしいと思いません。気づいたらそうしているだけです。  
42. 医師：最近では感情の起伏は以前と比べてどうですか？  
43. 家族：かなり不安定です。なんでもないことで笑ったり怒ったりします。  
44. 医師：感情の起伏が激しいと感じますか？  
45. 家族：家族全員が感じていますね。でも本人はあまり気に留めていないようです。  
46. 医師：ここまでのお話から総合的に考えると、脳の働きに関連した変化が見られる可能性がありますね。  
47. 医師：先ほど行った認知機能の検査や画像検査、血液検査などの結果を踏まえて判断しますと、前頭側頭葉変性症という診断が考えられます。  
48. 家族：それはどういう病気ですか？  
49. 医師：主に脳の前頭葉と側頭葉が萎縮し、性格変化や社会的行動の障害が出現する病気です。  
50. 医師：混乱を招くかもしれませんが、現在対症療法での治療が中心になりますが、専門的なサポートが重要です。"
