"1. 医師：こんにちは。今日はどんな症状でお困りですか？  
2. 患者：最近、足が重たく感じるんです。歩くのが大変で、よくふらついてしまいます。  
3. 医師：いつ頃からその症状が始まりましたか？  
4. 患者：3か月くらい前からです。徐々に悪くなってきた感じです。  
5. 医師：転んだりすることはありますか？  
6. 患者：はい、最近よく転びます。日常生活がだいぶ不便になっています。  
7. 医師：足の重だるさ以外に、気になる症状はありますか？  
8. 患者：妻に言われて気づいたんですが、物忘れが増えたみたいです。注意散漫になることも多いです。  
9. 医師：物忘れはどのようなことが起きましたか？例えばどんなことですか？  
10. 患者：例えば、ごはんを食べたかどうか覚えていなかったり、財布を置いた場所を忘れたりしました。  
11. 医師：それは、ここ最近になって急に増えたんですか？  
12. 患者：はい、ここ1、2か月くらい前から気になり始めた感じです。  
13. 医師：他に身体的に何か異常を感じることはありますか？  
14. 患者：トイレが近くなった気がします。特に夜中に何回も起きることがあります。  
15. 医師：夜間頻尿ですか。それは以前はなかったんですね？  
16. 患者：そうです、前はこんなことはありませんでした。  
17. 医師：お食事や水分摂取の量は変わりありませんか？  
18. 患者：特に変わりません。  
19. 医師：普段どのくらいの頻度で転倒されますか？  
20. 患者：週に2、3回は転んでいる気がします。  
21. 医師：歩き方について何か変わったことに気づきましたか？  
22. 患者：妻が言うには、歩くときに足を引きずるようになったそうです。自分でも小刻みになっている気がします。  
23. 医師：過去に大きなケガや病気、頭を打ったことはありますか？  
24. 患者：特にないと思います。元気な方でした。  
25. 医師：ご家族に同じような症状をお持ちの方はいらっしゃいますか？  
26. 患者：いえ、家系的な病気は聞いたことがありません。  
27. 医師：運動や仕事などで以前と違いが出てきた部分はありますか？  
28. 患者：外出がかなり難しくなりましたね。それまでは散歩していましたが、最近はほぼ家の中です。  
29. 医師：散歩をしていたときに気づいた変化があれば教えてください。  
30. 患者：散歩中に足が重たくて進みにくいと感じたことがあります。その後、だんだん外出がおっくうに。  
31. 医師：声や発音、しゃべる速さについて何か変化を感じますか？  
32. 患者：特にないと思います。いつも通りしゃべれていると思います。  
33. 医師：体のどこかしびれたり痛みを感じたりする箇所はありますか？  
34. 患者：それはありませんね。足も痛くはないです。  
35. 医師：お仕事はされていますか？それともご隠居されていますか？  
36. 患者：もう定年していて、今は孫と遊んだり趣味を楽しんでいます。  
37. 医師：症状が悪くなってから、趣味の活動などに影響はありましたか？  
38. 患者：模型作りが趣味なんですが、最近は注意散漫で集中できなくなりました。  
39. 医師：どのくらいの時間模型作りを続けられますか？  
40. 患者：以前は何時間でもやっていられたんですが、最近は1時間も続きません。  
41. 医師：集中力が切れた後、どう感じますか？  
42. 患者：物忘れや注意力の低下に、自分でも困ることがあります。  
43. 医師：よく眠れていますか？途中で起きたり、夢を見たりしますか？  
44. 患者：夜間頻尿があるので、やっぱり何度も起きてしまいますね。  
45. 医師：頻尿ですが、昼間はいかがですか？排尿回数は多いですか？  
46. 患者：昼間も多いと感じます。前より頻繁にトイレに行っています。  
47. 医師：今、ご自宅での生活介助が必要と感じることはありますか？  
48. 患者：妻に手を引いてもらわないと歩くのが不安なので、少し助けてもらっています。  
49. 医師：ここまでの話を総合すると、歩くときの足の引きずりや転倒、物忘れ、頻尿が主な問題のようです。改めてお伝えすると、これは「正常圧水頭症」と呼ばれる病気の可能性があります。  
50. 患者：そうですか。それはどういう病気なんですか？"
