"1. 医師：今日はどうされましたか？  
2. 患者：2週間くらい前から熱が出続けていて、手や膝の関節も痛いんです。  
3. 医師：それはつらいですね。熱はどのくらいの高さがありましたか？  
4. 患者：高いときは39度以上になることもあります。波がある感じです。  
5. 医師：その熱ですが、特定の時間帯に高くなることがありますか？  
6. 患者：1日の中で上がったり下がったりする感じです。朝はちょっと楽なんですが、夕方に高くなることが多い気がします。  
7. 医師：関節の痛みはどの関節が特に痛みますか？  
8. 患者：手の指とか手首、それに膝も痛いです。  
9. 医師：その痛みですが、痛みの強さは時間帯によって変わりますか？  
10. 患者：朝起きたときに一番痛いですね。動けないくらいです。  
11. 医師：関節が腫れることや動かしにくいと感じたことはありますか？  
12. 患者：はい、膝とか手首は腫れて、動かすのがつらいです。  
13. 医師：それ以外に変わった症状、たとえば皮膚に何か変化はありましたか？  
14. 患者：そういえば、数日前に体の真ん中にぼんやり赤い発疹が出ました。痒くはないんですが。  
15. 医師：発疹は時間や何かの行動によって変化しますか？  
16. 患者：特に変わらないんですけど、熱が高いときに少し目立つ気がします。  
17. 医師：市販薬など試されましたか？  
18. 患者：はい、解熱剤を飲んでみましたが、ほとんど効きませんでした。  
19. 医師：なるほど。それでは、喉の痛みや風邪っぽい症状はありますか？  
20. 患者：喉が少し痛いのと、全体的にすごく疲れやすい感じがします。  
21. 医師：リンパ節が腫れている感じや、お腹の違和感、肝臓や脾臓が腫れている感じはありませんか？  
22. 患者：特には感じていません。  
23. 医師：これまでに同じような症状が出たことはありますか？  
24. 患者：いえ、初めてです。  
25. 医師：ご家族や身近な方で、似たような症状の方はいますか？  
26. 患者：いえ、特に聞いていません。  
27. 医師：過去のご病気や、治療中の病気はありますか？  
28. 患者：特にありません。これまで健康でした。  
29. 医師：お仕事や生活のストレスなども関係するかもしれませんが、最近生活が変わったことはありましたか？  
30. 患者：今年に入って忙しい時期が続いていましたが、最近はむしろ落ち着いています。  
31. 医師：食生活や睡眠の状況はどうですか？  
32. 患者：睡眠は普通に取れています。食欲は少し落ちていますけど、食べられないほどではないです。  
33. 医師：お酒やタバコは普段どれくらいですか？  
34. 患者：どちらもほとんどしません。  
35. 医師：診察で確認したいことがありますので、よろしいでしょうか？  
36. 患者：お願いします。  
37. 医師：発疹を拝見しますね。この淡い発疹ですが、体幹中心に広がっていますね。他の場所にはありませんか？  
38. 患者：今のところ体だけです。  
39. 医師：膝関節と手首に少し腫れがありますが、非常に痛む箇所はここで間違いないですか？  
40. 患者：はい、そこが一番痛いところです。  
41. 医師：微熱が続いたり、関節に似た痛みが消えたり出たりすることは以前もまったくなかったですか？  
42. 患者：全然なかったです。  
43. 医師：血液検査の結果では炎症のサインが強く出ています。またフェリチンという数値が非常に高く上がっていました。  
44. 患者：それって何か特別なことなのでしょうか？  
45. 医師：フェリチンは炎症や特定の病気で上がることがあります。抗体検査では、関節リウマチなどを示すものは陰性でした。  
46. 患者：つまりそれはどういうことですか？  
47. 医師：複数の要素を考慮しますが、これは成人Still病という病気が疑われます。  
48. 患者：初めて聞きました。それはどんな病気なんですか？  
49. 医師：全身に炎症が起こる原因不明の病気で、発熱や発疹、関節の症状が特徴です。  
50. 医師：治療の手段がありますので、症状の改善は期待できます。治療をスタートしましょう。  "
