"1. 医師：こんにちは。今日はどのようなご様子でしょうか？
2. 患者：高熱と体のだるさが3週間くらい続いていて、のどもすごく痛いんです。
3. 医師：それはつらいですね。どのくらいの熱が出ていますか？
4. 患者：だいたいいつも38度台、ひどい時は39度近くまで上がります。
5. 医師：熱はずっと続いていますか？それとも時々下がることがありますか？
6. 患者：市販の解熱剤を飲むと一時的に下がるんですが、またすぐに上がります。
7. 医師：3週間とおっしゃいましたが、症状が始まる前に何かきっかけがありましたか？例えば風邪を引いたり、どこかに旅行に行ったりは？
8. 患者：特に思い当たることはありません。いつも通り仕事してました。
9. 医師：他に目立った症状はありますか？例えばお腹の痛みや咳、鼻水など。
10. 患者：咳や鼻水はないです。ただ1週間ほど前からのどの痛みがひどくなってきました。
11. 医師：のどはどんな感じで痛みますか？飲み込む時だけ痛いですか？
12. 患者：飲み込む時も痛いですが、普段じっとしていても痛いです。
13. 医師：最近、体重が急に減ったりすることはありましたか？
14. 患者：体重の変化は特にないと思います。
15. 医師：体のだるさがひどいとのことですが、どのくらいのレベルだと感じますか？普段の生活に差し支えるほどですか？
16. 患者：ええ、仕事にも行けなくなってしまいました。起き上がるのもつらいです。
17. 医師：具体的にはどういった仕事をされていますか？
18. 患者：デスクワークが中心ですが、最近は全然集中できません。
19. 医師：肌に何か変化が出てきたと感じますか？例えば赤い斑点や腫れなど。
20. 患者：ああ、そういえば体や手に赤いぽつぽつしたものが見えるんです。
21. 医師：そうですか。その赤い斑点は痒みがありますか？それとも痛む感じですか？
22. 患者：特に痒みはないです。でも痛いと感じます。
23. 医師：手足の関節で違和感や痛みがありますか？
24. 患者：はい、手の指とか手首が腫れていて、すごく痛みます。
25. 医師：腫れはいつ頃から始まりましたか？
26. 患者：1週間くらい前からだったと思います。
27. 医師：関節の痛みがある部位は具体的にどこですか？他の関節はどうですか？
28. 患者：今のところ痛いのは指と手首だけです。
29. 医師：以前にも同じような症状があったことはありますか？
30. 患者：いいえ、こんなことは初めてです。
31. 医師：血縁関係のあるご家族に関節リウマチや免疫の病気を持っている方はいますか？
32. 患者：いいえ、家族はみんな健康です。
33. 医師：これまでに何か大きな病気をしたり、入院したことがありますか？
34. 患者：学生の頃に風邪で寝込んだくらいで、それ以外は特になかったです。
35. 医師：それではここ1年間で何かいわゆる“健康診断”を受けましたか？
36. 患者：はい、受けました。特に問題はないと言われました。
37. 医師：最近、海外旅行や新しい環境への訪問など何かありましたか？
38. 患者：旅行もしていませんし、特に変わったことはありません。
39. 医師：食欲はどうですか？普段と比べて減ったりしていますか？
40. 患者：ちょっと食べる量は減ったかもしれません。あまり食べたい気分にはなれなくて。
41. 医師：咽頭に特に膿みのようなものが出てきたりしていますか？
42. 患者：それはありません。ただ腫れてる感じです。
43. 医師：夜になると症状が悪化するようなことはありますか？
44. 患者：特には気付いてませんが、夜も微熱が下がらないことが多いです。
45. 医師：日中と比べて、朝に関節のこわばりを感じることはありますか？
46. 患者：朝は指が動かなくて、しばらくすると少し良くなる感じです。
47. 医師：これまでにアレルギーなどで薬を飲んだりしたことはありますか？
48. 患者：いいえ、アレルギーはありません。
49. 医師：これまでの症状や所見を基に考えると、成人スティル病という可能性があります。
50. 患者：それはどんな病気なんですか？"
